timestamp,x,y,z
19,472,58,-1282
40,498,170,-1393
61,404,260,-1233
82,410,269,-1093
102,419,305,-976
123,381,307,-786
144,417,124,-551
164,507,94,-398
185,494,162,-215
206,444,64,53
226,218,-87,84
247,591,-195,-160
268,457,-203,-203
288,502,-301,-230
309,569,-403,-94
330,490,-459,-7
351,469,-514,-125
371,525,-534,-327
392,1219,-1156,-33
413,1063,-1122,489
434,806,-691,335
454,811,-767,99
475,508,-680,361
496,815,-944,583
517,900,-1132,612
537,520,-659,331
558,594,-695,407
579,920,-887,337
600,412,-806,559
620,384,-823,791
641,385,-829,695
662,542,-717,200
683,486,-570,1
703,317,-698,151
724,66,-698,111
745,-114,-765,145
766,-85,-816,261
786,-216,-870,270
807,-166,-813,187
828,-161,-877,147
849,-212,-1021,145
869,-264,-1137,130
890,-236,-1172,31
911,-172,-1228,-14
932,-119,-1303,-58
952,-11,-1338,-47
973,67,-1344,-55
994,141,-1268,-57
1015,167,-1274,-57
1035,168,-1246,-108
1056,147,-1148,-204
1077,140,-1071,-311
1097,149,-1037,-406
1118,192,-1071,-459
1139,222,-1064,-461
1160,246,-1073,-445
1180,291,-1063,-403
1201,299,-1037,-340
1222,295,-1067,-265
1242,326,-1124,-247
1263,370,-1167,-218
1284,355,-1101,-171
1304,317,-1093,-122
1325,200,-1248,-122
1346,108,-1430,-125
1367,37,-1494,-99
1387,94,-1379,-106
1408,168,-1257,-114
1429,200,-1162,-126
1449,163,-1144,-161
1470,71,-1221,-213
1491,-29,-1262,-243
1511,-136,-1278,-240
1532,-210,-1304,-241
1553,-252,-1316,-249
1574,-247,-1221,-301
1594,-223,-1203,-340
1615,-196,-1108,-349
1636,-187,-1032,-361
1656,-179,-975,-367
1677,-187,-930,-389
1698,-205,-875,-433
1719,-227,-825,-441
1739,-247,-782,-425
1760,-230,-741,-403
1781,-187,-671,-414
1801,-153,-594,-428
1822,-119,-568,-427
1843,-111,-566,-411
1863,-118,-588,-386
1884,-99,-603,-339
1905,-87,-620,-326
1926,-220,-795,-388
1946,-334,-915,-364
1967,-248,-971,-241
1988,-119,-959,-180
2008,-30,-916,-249
2029,-20,-876,-323
2050,-127,-891,-370
2070,-196,-960,-381
2091,-179,-1063,-392
2112,-134,-1158,-418
2133,-102,-1190,-430
2153,-63,-1179,-431
2174,59,-1107,-419
2195,88,-1097,-393
2215,102,-1116,-384
2236,108,-1130,-384
2257,106,-1127,-390
2277,116,-1098,-396
2298,145,-1055,-409
2319,160,-1001,-438
2340,151,-947,-451
2360,152,-923,-450
2381,173,-926,-449
2402,213,-944,-443
2422,230,-934,-453
2443,256,-924,-480
2464,273,-945,-482
2485,276,-962,-487
2505,276,-964,-488
2526,280,-939,-489
2547,263,-1004,-462
2568,119,-1200,-487
2589,58,-1280,-519
2609,154,-1225,-497
2630,249,-1167,-469
2651,241,-1196,-415
2672,140,-1217,-395
2693,75,-1198,-403
2713,11,-1196,-397
2734,-280,-1243,-355
2755,-325,-1213,-374
2775,-290,-1147,-353
2796,-263,-1099,-338
2817,-225,-1087,-353
2838,-124,-1080,-394
2858,-70,-1054,-445
2879,-44,-1054,-471
2900,-12,-1039,-454
2920,-30,-1002,-418
2941,-61,-967,-369
2962,-85,-943,-324
2982,-102,-880,-312
3003,-101,-808,-327
3024,-99,-741,-306
