timestamp,x,y,z
19,-230,163,928
40,-215,168,946
61,-242,188,962
81,-267,174,955
102,-248,162,985
122,-284,174,984
143,-288,190,956
163,-269,191,948
184,-265,174,949
204,-258,165,957
225,-323,120,885
245,-398,150,871
266,-306,-18,918
286,-136,92,1011
307,-439,263,886
327,-300,94,942
348,-432,146,941
368,-592,170,840
389,-338,69,827
409,-194,207,968
430,-560,252,967
450,-590,187,725
470,-314,57,857
491,-405,51,887
512,-506,82,888
532,-467,81,866
553,-502,158,880
573,-672,223,846
594,-778,99,820
614,-755,97,744
635,-856,91,663
655,-1032,-62,491
675,-967,-80,504
696,-873,-9,692
716,-763,105,843
737,-526,190,846
757,-305,242,806
778,-632,230,693
798,-964,231,614
819,-1020,233,434
839,-865,205,143
860,-951,-87,-143
880,-947,326,-44
901,-658,440,-147
921,-621,162,-102
942,-967,183,-320
962,-1056,255,-354
983,-697,263,-84
1003,-395,230,29
1024,-365,202,-118
1044,-499,125,-211
1065,-587,36,-204
1085,-1032,-224,-230
1106,-1038,-171,-258
1126,-712,-81,-148
1147,-510,-166,-192
1167,-745,-406,-157
1188,-1076,-592,-130
1208,-1139,-602,-206
1228,-980,-497,-315
1249,-877,-488,-316
1269,-948,-575,-290
1290,-985,-575,-247
1310,-885,-536,-260
1331,-790,-544,-300
1351,-736,-606,-305
1372,-647,-688,-218
1392,-580,-814,-162
1413,-601,-932,-191
1433,-577,-985,-237
1454,-255,-1504,-131
1474,-1041,-1330,141
1495,-1073,-1075,-43
1515,-509,-846,8
1536,-663,-937,80
1556,-757,-886,49
1577,-737,-843,22
1597,-686,-870,10
1618,-596,-931,-2
1639,-542,-904,10
1659,-545,-909,15
1680,-552,-947,4
1700,-525,-900,-6
1721,-494,-837,-6
1741,-501,-802,-17
1762,-542,-745,-43
1782,-526,-745,-58
1803,-336,-794,-44
1824,-375,-692,-126
1844,-478,-691,-108
1865,-389,-744,-93
1885,-342,-778,-114
1906,-360,-796,-106
1926,-363,-808,-94
1947,-363,-818,-114
1967,-418,-828,-114
1988,-429,-861,-114
2009,-441,-901,-132
2029,-421,-904,-149
2050,-382,-907,-126
2070,-376,-965,-107
2091,-462,-1198,-141
2111,-562,-1300,-206
2132,-546,-1073,-256
2153,-488,-822,-277
2173,-472,-724,-285
2194,-487,-696,-307
2214,-526,-763,-322
2235,-434,-861,-273
2256,-366,-849,-224
2276,-377,-963,-202
2297,-349,-1046,-204
2318,-319,-1066,-213
2338,-298,-1079,-222
2359,-317,-1016,-247
2380,-325,-943,-267
2400,-330,-840,-276
2421,-344,-748,-266
2442,-363,-718,-255
2462,-360,-720,-248
2483,-333,-705,-246
2504,-318,-695,-245
2524,-319,-710,-250
2545,-319,-703,-268
2566,-372,-730,-288
2586,-426,-757,-285
2607,-435,-787,-280
2628,-435,-829,-283
2648,-463,-873,-299
2669,-486,-899,-311
2690,-493,-903,-302
2710,-506,-893,-282
2731,-513,-872,-266
2752,-509,-908,-251
2772,-546,-1048,-288
2793,-596,-1100,-325
2814,-561,-1038,-300
2834,-503,-965,-246
2855,-463,-889,-197
2876,-433,-843,-185
2896,-399,-799,-190
2917,-390,-801,-179
2938,-400,-859,-153
2958,-400,-921,-142
2979,-405,-961,-156
3000,-401,-979,-158
3020,-388,-979,-152
3041,-343,-946,-134
3062,-299,-914,-116
3082,-281,-896,-118
3103,-282,-868,-137
3124,-277,-843,-149
3144,-286,-792,-151
3165,-292,-770,-143
3186,-304,-785,-138
3206,-331,-773,-147
3227,-350,-782,-151
3248,-351,-806,-146
3268,-349,-809,-150
3289,-346,-789,-167
3310,-345,-790,-182
3330,-358,-847,-182
3351,-364,-926,-187
3372,-360,-979,-195
3392,-361,-972,-200
3413,-372,-939,-192
3434,-431,-1100,-187
3454,-510,-1289,-211
3475,-500,-1187,-235
3496,-485,-951,-261
3516,-489,-811,-263
3537,-471,-768,-271
3558,-433,-770,-281
3578,-394,-802,-246
3599,-387,-861,-196
3620,-389,-966,-171
3640,-374,-1058,-184
3661,-348,-1076,-199
3681,-342,-1025,-204
3702,-356,-986,-194
3723,-371,-914,-201
3743,-374,-882,-206
3764,-385,-835,-206
3785,-400,-755,-196
3805,-362,-725,-201
3826,-342,-723,-208
3847,-330,-734,-202
3867,-326,-728,-201
3888,-326,-724,-204
3909,-326,-729,-206
3929,-332,-754,-219
3950,-364,-778,-251
3971,-395,-795,-240
3991,-426,-832,-217
4012,-479,-830,-203
4033,-546,-822,-209
4053,-617,-987,-169
4074,-653,-1002,-142
4095,-652,-809,-148
4115,-648,-815,-134
4136,-662,-954,-138
4157,-658,-1055,-147
4177,-602,-1135,-123
4198,-523,-1044,-87
4219,-456,-935,-60
4239,-379,-834,-86
4260,-335,-724,-129
4281,-359,-716,-111
4301,-409,-860,-82
4322,-455,-996,-78
4343,-458,-1052,-85
4363,-419,-1068,-65
4384,-356,-1032,-44
4404,-319,-999,-58
4425,-276,-986,-63
4446,-247,-876,-82
4466,-275,-824,-92
4487,-293,-822,-89
4508,-289,-843,-89
4528,-322,-817,-90
4549,-360,-793,-98
4570,-330,-811,-118
4590,-289,-843,-130
4611,-294,-778,-141
4632,-312,-745,-138
4652,-311,-774,-135
4673,-328,-830,-133
4693,-354,-904,-118
4714,-396,-937,-109
4735,-428,-1015,-112
4756,-449,-1021,-120
4776,-438,-953,-130
4797,-443,-953,-113
4818,-496,-1162,-87
4838,-547,-1257,-90
4859,-520,-1059,-112
4880,-466,-833,-140
4900,-453,-785,-156
4921,-451,-775,-155
4941,-423,-785,-129
4962,-417,-854,-97
4983,-433,-967,-86
5003,-423,-1041,-105
5024,-394,-1052,-125
5045,-382,-968,-151
5065,-401,-850,-163
5086,-411,-827,-174
5107,-384,-808,-188
5127,-342,-777,-194
5148,-337,-743,-187
5169,-337,-743,-192
5189,-321,-756,-205
5210,-330,-775,-214
5231,-353,-794,-210
5251,-355,-792,-206
5272,-372,-807,-204
5293,-395,-828,-214
5313,-411,-833,-221
5334,-427,-866,-221
5355,-442,-899,-222
5375,-460,-929,-224
5396,-471,-953,-227
5417,-460,-935,-216
5437,-434,-906,-188
5458,-457,-977,-150
5479,-523,-1137,-163
5499,-539,-1195,-195
5520,-521,-1094,-198
5541,-511,-950,-146
