timestamp,x,y,z
0,-305,146,893
20,-366,136,880
41,-369,126,898
61,-372,136,927
81,-415,157,965
102,-451,184,932
122,-383,173,941
143,-412,140,940
163,-565,140,827
184,-424,146,803
204,-370,123,825
224,-423,101,804
245,-475,109,787
265,-588,119,797
286,-684,133,759
306,-672,64,853
327,-463,3,1019
347,-406,100,858
367,-792,129,706
388,-1122,95,543
408,-1079,75,555
429,-736,204,728
449,-331,209,823
470,-277,123,664
490,-583,53,632
511,-930,-3,338
531,-816,-11,213
552,-651,-166,358
572,-871,-234,582
593,-692,-144,552
613,-692,-90,388
634,-756,-75,303
654,-787,-83,376
674,-856,-137,387
695,-943,-168,355
715,-956,-159,303
736,-906,-187,189
756,-819,-255,78
777,-751,-351,23
797,-799,-440,-6
818,-817,-485,-87
838,-790,-532,-176
859,-728,-582,-243
879,-612,-626,-238
900,-487,-704,-215
920,-385,-507,-217
941,-297,-420,-170
961,-309,-661,-119
982,-386,-864,-113
1002,-487,-918,-140
1023,-536,-1089,-187
1043,-532,-1235,-184
1064,-548,-1244,-145
1084,-628,-1161,-131
1105,-675,-1116,-113
1125,-649,-1162,-78
1146,-611,-1114,-59
1166,-556,-1123,6
1187,-516,-1080,34
1207,-516,-1027,-7
1228,-501,-987,-1
1248,-489,-1028,53
1269,-529,-1114,39
1289,-577,-1146,-79
1310,-505,-998,-135
1330,-364,-810,-34
1351,-299,-723,32
1371,-315,-768,49
1392,-368,-882,48
1412,-431,-1011,70
1433,-388,-1055,69
1453,-395,-951,61
1474,-404,-876,63
1494,-392,-843,61
1515,-364,-799,38
1535,-340,-770,34
1556,-315,-754,45
1576,-311,-734,54
1597,-329,-728,63
1617,-346,-719,67
1638,-357,-703,70
1659,-376,-729,70
1679,-390,-763,68
1700,-398,-802,69
1720,-407,-856,77
1741,-403,-924,98
1761,-404,-969,114
1782,-459,-1005,119
1803,-529,-1004,121
1823,-573,-975,88
1844,-600,-978,48
1864,-553,-1045,108
1885,-526,-1289,246
1905,-611,-1439,227
1926,-628,-1134,91
