timestamp,x,y,z
0,-468,165,824
20,-490,171,848
41,-522,183,840
61,-401,178,877
82,-504,141,887
102,-584,177,865
122,-510,201,867
143,-521,168,853
163,-504,149,859
184,-503,158,843
204,-532,151,836
225,-557,167,787
245,-520,180,819
265,-471,170,841
286,-508,170,812
306,-625,160,780
327,-671,181,781
347,-617,211,826
368,-654,202,728
388,-707,204,641
409,-699,213,690
429,-756,207,666
449,-915,112,643
470,-855,73,726
490,-752,104,800
511,-854,133,780
531,-878,204,575
552,-928,216,624
572,-1035,252,644
593,-993,317,522
613,-890,320,232
634,-809,287,328
654,-765,-77,277
675,-666,-133,61
695,-575,433,-64
716,-770,241,-114
736,-783,86,-97
756,-658,131,-91
777,-464,127,-47
797,-312,87,-61
818,-351,23,-176
838,-614,-32,-193
859,-893,-24,-102
879,-925,-3,-54
900,-743,-78,-11
920,-753,-154,97
941,-1095,-142,227
961,-1361,-113,206
982,-1132,-232,124
1002,-870,-152,44
1023,-802,-101,-44
1043,-977,-509,-207
1064,-845,-582,-266
1084,-635,-572,-284
1104,-532,-666,-255
1125,-731,-781,-259
1145,-1064,-769,-240
1166,-1006,-753,-183
1186,-715,-709,-139
1207,-495,-743,-116
1227,-387,-792,-112
1248,-345,-841,-105
1268,-372,-923,-85
1289,-472,-1036,-81
1309,-660,-1266,-101
1330,-724,-1262,-125
1350,-676,-1197,-27
1371,-702,-1264,94
1391,-731,-1193,108
1412,-621,-987,48
1432,-497,-819,23
1453,-483,-824,-13
1473,-569,-908,-31
1493,-565,-878,10
1514,-437,-880,87
1534,-389,-887,61
1555,-371,-886,-6
1575,-410,-938,-43
1596,-477,-982,-49
1616,-497,-990,-42
1637,-472,-970,-46
1657,-406,-923,-70
1678,-314,-886,-68
1698,-294,-839,-39
1719,-311,-834,-22
1739,-327,-805,-15
1760,-359,-775,-2
1780,-408,-800,-3
1801,-443,-821,-15
1821,-449,-822,-27
1842,-431,-828,-43
1862,-420,-798,-41
1883,-412,-786,-31
1904,-401,-776,-38
1924,-409,-785,-42
1945,-448,-825,-39
1965,-504,-852,-47
1986,-543,-864,-67
2006,-598,-962,-75
2027,-617,-1004,-56
2047,-534,-1088,0
2068,-458,-1129,57
2089,-474,-1253,73
2109,-468,-1387,60
2130,-474,-1349,18
2150,-466,-1041,-40
2171,-336,-782,-53
2191,-223,-673,-36
2212,-185,-693,-37
2232,-205,-826,-6
2253,-265,-942,40
2273,-304,-997,83
2294,-300,-986,102
2315,-286,-957,91
2335,-260,-926,77
2356,-235,-865,70
2376,-217,-804,63
2397,-228,-734,38
2418,-238,-703,23
2439,-276,-714,18
2459,-320,-730,21
2480,-354,-755,30
2501,-351,-775,32
2521,-369,-807,14
2542,-376,-822,-4
2563,-361,-825,-10
2583,-432,-913,17
2604,-458,-967,27
2625,-487,-1020,23
2646,-487,-1033,-3
2666,-468,-1019,-40
2687,-412,-1049,1
2708,-435,-1307,144
2728,-542,-1572,149
2749,-476,-1305,30
2769,-283,-784,-81
2790,-171,-594,-130
2810,-159,-774,-68
2831,-197,-1051,87
2851,-202,-1206,226
2872,-184,-1201,246
2893,-179,-1029,172
2913,-254,-877,19
2934,-330,-818,-12
2954,-357,-775,4
2975,-392,-752,5
2995,-449,-743,-11
3016,-456,-747,-12
3036,-436,-747,-1
3057,-436,-754,-1
3077,-434,-773,-16
3098,-427,-778,-34
3119,-435,-758,-49
3139,-461,-738,-58
3160,-485,-740,-65
3181,-499,-757,-70
3202,-521,-805,-69
3223,-515,-844,-55
3243,-520,-907,-25
3264,-533,-862,-26
3285,-526,-884,-18
3306,-495,-850,-17
3326,-499,-815,-20
3347,-593,-1101,63
3368,-685,-1425,64
3389,-637,-1303,-28
3409,-547,-1040,-22
3430,-439,-890,70
3451,-389,-916,148
3472,-441,-1012,110
3493,-434,-965,61
3513,-352,-918,90
3534,-277,-899,119
3555,-263,-829,89
3576,-274,-742,61
3596,-292,-688,61
3617,-325,-695,72
3637,-368,-758,71
3658,-375,-806,81
3678,-333,-804,93
3699,-326,-803,87
3720,-372,-804,73
3741,-333,-723,69
3762,-386,-716,38
3782,-442,-737,3
3803,-494,-816,-18
3824,-529,-887,6
3845,-538,-958,49
3865,-594,-991,45
3886,-597,-942,1
3907,-572,-884,-14
3928,-581,-1017,112
3948,-696,-1413,247
3969,-767,-1484,213
3990,-649,-1076,63
4011,-492,-665,-66
4031,-323,-546,-104
4052,-252,-792,-65
4073,-231,-1038,93
4094,-266,-1131,213
4115,-313,-1210,238
4135,-303,-1112,155
4156,-344,-971,41
4177,-370,-848,-19
4198,-348,-730,-2
4218,-324,-685,27
4239,-346,-675,21
4259,-380,-691,1
4280,-388,-713,0
4300,-381,-726,0
4321,-378,-704,-6
4341,-373,-675,-22
4362,-387,-700,-35
4383,-415,-768,-32
4403,-452,-892,-48
4424,-471,-963,-21
4444,-497,-1012,-12
4465,-517,-1015,-22
4486,-530,-1011,-26
4507,-515,-927,-32
4528,-488,-864,-16
4548,-475,-1085,90
4569,-629,-1354,93
4590,-669,-1575,90
4611,-562,-1085,-65
4631,-480,-701,-27
4652,-391,-784,125
4673,-361,-889,99
4694,-364,-929,57
4714,-343,-989,97
4735,-300,-984,136
4756,-274,-882,97
4777,-298,-774,54
4797,-294,-695,49
4818,-312,-634,49
4839,-317,-643,76
4859,-307,-659,86
4880,-333,-681,74
4900,-338,-729,66
4921,-327,-777,56
4942,-343,-785,36
4963,-294,-749,8
4983,-412,-822,-43
5004,-398,-864,-41
5025,-413,-935,-18
5046,-469,-1004,-4
5066,-507,-983,-37
5087,-494,-919,-96
5108,-504,-925,-75
5129,-567,-1325,160
5149,-646,-1838,340
5170,-622,-1620,261
5191,-542,-917,48
5212,-444,-527,-139
5232,-424,-609,-148
5253,-456,-889,-54
5274,-450,-1006,40
5295,-449,-1098,86
5316,-395,-1109,93
5336,-281,-997,54
5357,-204,-802,-24
5378,-181,-684,-69
5399,-218,-593,-66
5420,-368,-621,-51
5440,-396,-657,-58
5461,-401,-667,-71
5482,-375,-693,-56
5502,-364,-723,-32
5523,-403,-833,-37
5544,-382,-829,-32
5565,-363,-822,-28
5585,-378,-837,-54
5606,-393,-848,-51
5627,-443,-887,-35
5648,-515,-926,-24
5668,-544,-971,13
5689,-555,-1016,48
5710,-537,-965,21
5731,-476,-903,18
5751,-486,-1088,106
5772,-564,-1295,134
5793,-594,-1308,80
5814,-540,-1062,13
5834,-395,-767,52
5855,-293,-710,96
5876,-330,-842,70
5897,-333,-898,59
5917,-263,-937,112
5938,-213,-1005,191
5959,-206,-1012,213
5980,-239,-952,153
6000,-253,-862,84
6021,-181,-806,130
6042,-151,-763,162
6063,-165,-755,131
6083,-304,-745,51
6104,-481,-780,-27
6125,-499,-777,-117
6145,-421,-773,-96
6166,-458,-792,-42
6187,-514,-824,26
6208,-526,-864,88
6229,-603,-885,114
6249,-668,-903,112
6270,-658,-987,122
6291,-613,-1079,138
6312,-509,-1010,182
6333,-512,-1113,269
6353,-735,-1582,313
6374,-720,-1568,290
6395,-513,-941,35
6416,-301,-545,-52
6436,-176,-706,-14
6457,-193,-977,72
6478,-206,-1086,199
6499,-264,-1142,286
6520,-283,-1046,240
6540,-302,-897,101
6561,-351,-814,35
6582,-343,-702,33
6603,-339,-687,62
6623,-321,-709,85
6644,-332,-735,71
6665,-336,-759,62
6686,-318,-759,69
6706,-311,-745,71
6727,-316,-731,63
6748,-326,-725,54
6769,-352,-754,19
6789,-371,-801,-14
6810,-369,-875,4
6831,-444,-961,9
6851,-541,-1007,-33
6872,-586,-1043,-40
6893,-596,-1030,1
6914,-585,-1169,36
6935,-647,-1306,-1
6955,-738,-1416,77
6976,-711,-1282,172
6997,-586,-691,125
7018,-492,-529,61
7038,-540,-697,14
7059,-648,-867,57
7080,-625,-1070,193
7101,-441,-979,189
7121,-361,-963,134
7142,-300,-948,118
7163,-231,-844,95
7183,-267,-750,122
7204,-305,-742,132
7224,-328,-736,131
7245,-345,-745,115
7265,-287,-670,105
7286,-254,-687,108
7306,-376,-727,93
7327,-346,-741,79
7348,-326,-769,77
7369,-380,-828,92
7389,-354,-863,112
7410,-378,-938,111
7431,-413,-1000,117
7452,-423,-970,81
7473,-447,-960,39
7493,-450,-997,51
7514,-497,-1281,144
7535,-580,-1479,142
7556,-581,-1305,55
7577,-505,-977,-31
7597,-437,-720,-85
7618,-383,-588,-111
7639,-360,-729,-89
7660,-422,-932,-20
7680,-402,-1018,77
7701,-350,-1093,111
7722,-303,-1040,81
7743,-355,-826,0
7764,-399,-721,-43
7784,-402,-691,-28
7805,-448,-699,-10
7826,-477,-704,-20
7847,-462,-693,-33
7867,-438,-731,-23
7888,-432,-769,-11
7908,-433,-798,-9
7929,-421,-799,-6
7950,-402,-807,1
7970,-408,-812,-1
7991,-438,-848,-7
8012,-454,-882,-4
8033,-513,-929,0
8054,-555,-969,13
8074,-525,-980,36
8095,-487,-930,49
8116,-487,-967,86
8137,-586,-1164,95
8157,-703,-1441,84
8178,-626,-1377,26
8199,-547,-819,-80
8220,-429,-620,60
8240,-387,-760,125
8261,-421,-965,103
8282,-408,-969,97
8303,-413,-1042,137
8324,-303,-892,101
8344,-314,-798,82
8365,-329,-746,78
8386,-344,-699,65
8407,-351,-685,72
8427,-337,-686,79
8448,-330,-695,67
8469,-325,-759,71
8489,-328,-753,56
8510,-251,-725,46
8531,-353,-767,46
8551,-355,-775,55
8572,-342,-805,55
8593,-402,-871,32
8614,-402,-851,-4
8635,-387,-898,11
8655,-435,-1008,35
8676,-457,-1032,25
8697,-460,-991,-47
8718,-469,-1002,-44
8738,-444,-1245,99
8759,-557,-1579,182
8780,-607,-1479,130
8801,-588,-1007,-83
8822,-509,-602,-138
8842,-441,-579,-61
8863,-505,-981,13
8884,-468,-1042,67
8905,-420,-1092,96
8925,-305,-997,87
8946,-272,-875,50
8967,-313,-792,14
8988,-286,-667,-19
9009,-304,-637,-2
9029,-355,-671,5
9050,-396,-704,-9
9070,-413,-724,-26
9091,-390,-755,-15
9112,-375,-774,-24
9132,-374,-775,-36
9153,-357,-786,-25
9173,-342,-812,-19
9194,-363,-818,-39
9214,-391,-858,-35
9235,-423,-908,-23
9256,-474,-951,-21
9277,-514,-980,-20
9297,-529,-984,-17
9318,-500,-927,-9
9339,-501,-914,37
9360,-569,-1198,88
9381,-697,-1306,9
9401,-694,-1277,5
9422,-611,-993,1
9443,-435,-821,74
9464,-462,-840,39
9484,-523,-930,57
9505,-523,-1049,114
9526,-462,-921,80
9547,-425,-891,43
9568,-363,-871,41
9588,-338,-813,50
9609,-342,-800,53
9630,-332,-785,51
9650,-326,-766,45
9671,-308,-751,28
9691,-284,-735,26
9712,-313,-696,36
9733,-285,-679,31
9753,-357,-715,21
9774,-372,-745,32
9795,-320,-755,55
9816,-337,-811,69
9836,-325,-796,49
9857,-332,-838,51
9878,-392,-919,66
9899,-421,-970,64
9919,-438,-991,51
9940,-470,-984,37
9961,-493,-1123,93
9982,-560,-1375,134
10002,-614,-1350,64
10023,-480,-844,-89
10044,-500,-743,-104
10065,-532,-699,-119
10086,-493,-770,-52
10106,-526,-986,53
10127,-496,-1112,111
10148,-429,-1142,110
10169,-366,-1133,105
10189,-343,-1078,67
10210,-344,-928,27
10231,-296,-822,12
10252,-290,-749,0
10272,-300,-637,-35
10293,-329,-623,-32
10313,-351,-660,-13
10334,-342,-699,3
10355,-342,-729,-5
10375,-357,-746,-15
10396,-369,-768,-16
10417,-382,-806,-21
10437,-378,-796,-39
10458,-381,-784,-43
10479,-398,-828,-31
10500,-438,-898,-15
10520,-510,-975,-6
10541,-561,-1047,1
10562,-544,-1050,19
10583,-520,-989,43
10604,-631,-1249,69
10624,-682,-1290,27
10645,-629,-1131,-2
10666,-558,-856,-15
10687,-470,-717,4
10708,-416,-726,21
10728,-444,-749,30
10749,-515,-932,85
10770,-499,-1022,138
10791,-491,-922,96
10811,-491,-889,69
10832,-441,-823,75
10853,-425,-803,90
10873,-429,-840,104
10894,-407,-843,105
10914,-369,-800,93
10935,-352,-787,79
10955,-364,-801,78
10976,-299,-770,70
10997,-332,-775,50
11018,-405,-805,50
11038,-353,-765,53
11059,-344,-776,61
11080,-315,-772,50
11101,-275,-743,26
11122,-309,-758,15
11142,-354,-798,29
11163,-395,-872,20
11184,-400,-861,-13
11205,-416,-833,-44
11225,-431,-889,0
11246,-493,-1203,121
11267,-564,-1448,113
11288,-576,-1266,35
11309,-562,-1038,-16
11329,-512,-851,-73
11350,-413,-680,-101
11371,-491,-755,-81
11392,-561,-880,-83
11412,-543,-982,-20
11433,-500,-1095,111
11454,-434,-1173,112
11475,-335,-1154,103
11496,-243,-943,107
11516,-319,-809,95
11537,-421,-853,101
11557,-407,-784,77
11578,-413,-710,43
11598,-385,-716,26
11619,-290,-746,12
11640,-162,-771,-8
11661,-206,-771,24
11682,-474,-767,48
11703,-614,-791,100
11723,-558,-739,114
11744,-479,-744,93
11765,-435,-806,96
11786,-423,-881,109
11806,-411,-932,108
11827,-403,-949,90
11848,-454,-931,69
11869,-483,-962,107
11890,-504,-832,83
11910,-553,-820,57
11931,-614,-1098,90
11952,-678,-1249,86
11973,-665,-1207,52
11994,-615,-1028,25
12014,-543,-814,41
12035,-442,-672,32
12056,-413,-656,24
12076,-477,-756,32
12097,-503,-880,55
12118,-466,-979,105
12138,-399,-1008,119
12159,-363,-990,99
12179,-387,-945,158
12200,-426,-878,230
12220,-435,-866,256
12241,-451,-846,256
12261,-371,-865,231
12282,-277,-829,187
12303,-244,-831,184
12323,-234,-848,165
