timestamp,x,y,z
20,-1,15,1013
42,3,25,988
63,7,27,1011
84,12,41,1026
105,-3,44,1046
126,-12,34,1044
147,-10,28,1015
169,-10,27,1021
190,-5,23,1050
211,-21,29,1003
232,-61,33,987
254,-33,72,977
275,-67,78,976
296,-154,86,933
317,-183,65,935
339,-228,53,964
360,-271,36,1023
381,-355,40,972
402,-536,45,1079
423,-330,180,879
444,-229,-72,893
465,-433,-243,943
486,-451,-158,865
508,-497,-116,844
529,-678,-312,1050
550,-684,-62,1008
571,-716,89,869
592,-395,152,712
614,-493,-54,965
635,-395,-93,970
657,-467,60,690
678,-441,87,741
699,-494,79,1061
720,-624,204,630
741,-759,228,298
762,-828,114,473
783,-823,130,717
804,-918,269,570
825,-914,382,458
846,-712,339,494
868,-524,265,576
889,-561,323,500
910,-680,458,425
931,-893,530,363
952,-1040,542,225
974,-825,452,271
995,-894,423,438
1016,-921,420,423
1037,-835,394,324
1059,-878,325,328
1080,-1060,278,410
1101,-1117,291,447
1122,-1150,319,459
1143,-1294,314,441
1164,-1451,318,479
1185,-1690,354,581
1206,-2123,283,600
1227,-2275,187,475
1249,-1812,153,354
1270,-1248,169,280
1291,-992,199,181
1312,-880,229,105
1334,-730,71,9
1355,-606,-30,43
1376,-350,-156,102
1397,-155,-374,16
1419,-78,-560,-56
1440,-11,-782,18
1461,-268,-872,194
1482,-359,-1175,304
1503,-207,-687,376
1524,-463,-389,283
1545,-1043,-357,348
1567,-1441,-367,509
1588,-1830,-123,538
1609,-2463,86,528
1630,-2547,319,441
1651,-1985,611,435
1672,-1759,798,355
1694,-1827,1145,142
1715,-1529,984,46
1737,-1213,571,-210
1758,-834,393,-232
1779,-370,322,-106
1800,25,283,-243
1822,322,129,-743
1843,122,-73,-382
1864,-85,95,171
1885,-18,648,221
1906,-316,573,212
1927,-813,200,-44
1949,-616,577,139
1970,-1162,458,273
1991,-1585,217,86
2012,-1388,374,-12
2034,-2195,561,140
2056,-2056,615,136
2077,-1531,349,127
2098,-1055,123,136
2119,-820,16,75
2140,-769,-11,104
2162,-590,18,75
2183,-324,-149,-53
2204,-214,-504,45
2225,-191,-689,188
2247,23,-711,198
2268,42,-744,-9
2289,-496,-884,-144
2310,-1144,-896,316
2332,-1295,-838,679
2353,-1652,-722,584
2375,-2222,-626,539
2396,-1919,-329,552
2417,-1741,-93,485
2439,-1642,87,447
2460,-1537,291,484
2481,-1291,650,437
2503,-885,842,255
2524,-463,922,55
2545,-284,712,-76
2566,-84,864,-154
2588,55,1055,-159
2609,46,962,-54
2630,-138,724,19
2652,-513,687,-73
2673,-1021,680,-32
2695,-2698,864,667
2716,-2911,535,749
2737,-2490,94,527
2759,-2367,74,368
2780,-2143,229,429
2801,-1549,150,478
2823,-994,0,464
2844,-637,-170,407
2865,-432,-478,215
2886,-283,-798,11
2908,-30,-1102,30
2929,284,-1207,100
2950,437,-1556,28
2972,193,-1574,-43
2993,-324,-1074,28
3015,-1125,-742,-65
3036,-1454,-898,376
3057,-2093,-737,414
3079,-2553,-395,213
3100,-2535,-138,264
3121,-2388,-24,409
3143,-2258,-21,427
3164,-2078,119,371
3185,-1957,355,315
3207,-1751,622,318
3228,-1305,667,261
3249,-938,601,41
3270,-633,708,-123
3292,-534,1319,-271
3313,-405,1477,-262
3335,-107,1251,39
3356,-475,970,178
3378,-752,798,341
3399,-1165,786,520
3420,-2066,716,637
3441,-2578,480,638
3463,-2366,113,658
3484,-2235,61,595
3505,-2263,323,454
3527,-2023,358,477
3548,-1536,63,452
3569,-1108,-126,281
3591,-933,-288,80
3612,-783,-466,73
3633,-428,-655,195
3655,155,-1003,120
3676,130,-1191,106
3698,26,-1044,87
3719,-202,-739,22
3740,-556,-581,-99
3761,-863,-567,251
3783,-1359,-444,453
3804,-2072,-201,290
3825,-2532,-75,271
3847,-2601,6,350
3868,-2359,225,283
3889,-2192,415,210
3911,-2049,537,253
3932,-1774,657,272
3955,-997,722,209
3976,-812,1155,88
3997,-567,1187,-31
4019,-314,1290,-37
4040,-168,1122,-48
4061,70,908,-24
4083,191,824,111
4104,29,850,230
4125,-432,713,334
4146,-1150,727,452
4168,-2128,725,631
4189,-2650,552,876
4210,-2536,422,882
4232,-2445,343,747
4253,-2312,148,637
4275,-1294,3,555
4296,-974,-106,438
4317,-777,-325,290
4339,-540,-650,225
4360,-280,-695,164
4381,-103,-724,107
4403,-5,-713,54
4424,82,-995,49
4445,10,-1028,53
4466,-312,-810,46
4488,-746,-503,-102
4509,-1091,-286,294
4530,-1483,-241,660
4552,-1821,-88,471
4573,-1982,129,288
4595,-2167,714,478
4616,-2014,750,429
4637,-1683,675,397
4659,-1444,567,324
4680,-1093,648,232
4701,-772,742,152
4723,-646,736,114
4744,-432,581,-16
4765,-136,559,-84
4787,-82,759,-125
4808,-92,604,-74
4829,11,640,8
4850,-58,670,138
4872,-300,701,270
4893,-1069,933,509
4915,-2743,695,807
4936,-2280,322,710
4957,-2109,511,505
4979,-2217,416,470
5000,-1900,154,497
5021,-1336,48,505
5043,-902,-68,446
5064,-612,-225,320
5085,-433,-508,218
5106,-258,-617,205
5128,-145,-522,173
5149,-79,-532,98
5170,-5,-562,55
5192,92,-643,59
5213,149,-735,11
5235,-854,-497,-202
5256,-1634,-314,609
5277,-2230,-336,457
5299,-2208,-226,-149
5320,-1923,-79,-76
5341,-1969,233,233
5363,-2049,383,272
5384,-1783,337,268
5405,-1618,321,285
5426,-1466,401,294
5448,-1302,518,260
5469,-975,572,175
5490,-731,421,95
5512,-426,407,98
5533,-245,650,68
5555,-57,491,-62
5576,-77,309,-140
5597,-136,170,-105
5619,-161,103,19
5640,-742,189,170
5661,-2377,154,530
5683,-3053,-311,778
5704,-1838,-692,540
5725,-950,-880,108
5746,-1253,-529,-26
5768,-1826,-198,45
5789,-1759,29,127
5810,-1282,92,172
5832,-990,65,146
5853,-992,95,93
5875,-893,170,78
5896,-637,50,104
5917,-343,-111,133
5939,-81,-276,145
5960,88,-416,166
5981,180,-531,225
6003,149,-550,225
6024,-147,-491,126
6045,-961,-296,498
6066,-2085,-404,758
6088,-1912,-279,468
6109,-1312,30,189
6130,-1471,257,201
6152,-2097,221,262
6173,-2186,166,229
6195,-1557,233,240
6216,-1666,361,245
6237,-1674,442,155
6259,-1524,379,-114
6280,-1276,252,-266
6301,-928,223,-205
6323,-573,262,-141
6344,-316,286,-151
6365,-172,208,-99
6386,-17,140,-79
6408,74,88,-103
6429,95,-5,-85
6450,199,30,-8
6472,210,189,40
6493,-117,350,10
6515,-1727,893,167
6536,-2561,1303,62
6557,-2810,1587,-289
6579,-2704,1286,-484
6600,-2378,755,-251
6621,-1992,772,-121
6642,-1499,671,-106
6664,-1081,352,-82
6685,-879,156,-34
6706,-765,-9,30
6727,-569,-219,18
6749,-182,-666,50
6770,90,-790,103
6791,166,-764,57
6814,203,-831,165
6835,-21,-1058,132
6857,-599,-812,134
6878,-1192,-622,113
6899,-1959,-480,-8
6921,-2462,-389,20
6942,-2247,-206,86
6963,-2068,-29,59
6984,-2222,118,92
7006,-2212,545,164
7027,-1930,844,248
7048,-1589,792,309
7070,-1227,681,376
7091,-1048,685,328
7112,-852,748,217
7134,-318,883,133
7156,-96,671,36
7177,5,585,-144
7198,-116,542,-255
7220,-263,487,-137
7241,-366,417,81
7262,-784,509,222
7283,-1758,691,289
7305,-2776,792,443
7326,-2994,367,631
7347,-2465,173,549
7369,-2508,86,412
7390,-2157,4,443
7411,-1567,-164,459
7434,-816,-569,319
7455,-545,-671,204
7477,-403,-608,90
7498,-238,-602,8
7519,-96,-533,-61
7541,15,-552,-24
7562,39,-519,39
7583,47,-549,90
7604,-22,-783,38
7626,-529,-647,-313
7647,-1165,-373,-227
7668,-1393,-197,198
7690,-1669,-172,237
7711,-1897,-111,75
7733,-2007,185,88
7755,-2015,615,144
7776,-1775,670,158
7797,-1496,512,154
7818,-1153,459,126
7840,-823,490,100
7861,-753,593,-37
7882,-660,730,-138
7903,-404,606,-220
7925,-172,568,-156
7946,-19,757,-79
7967,18,676,15
7989,37,637,141
8010,-448,656,177
8031,-1487,781,160
8052,-2157,1027,462
8075,-2337,234,574
8096,-2296,161,421
8117,-2090,99,295
8138,-1626,-95,316
8160,-1143,-229,387
8181,-724,-334,418
8202,-406,-637,339
8223,-225,-755,181
8245,-215,-604,26
8266,-297,-552,-90
8287,-264,-566,-101
8309,-160,-581,14
8330,-79,-548,133
8351,-134,-562,73
8372,-440,-447,-211
8394,-1489,-354,406
8416,-1825,-402,317
8437,-1917,-133,137
8458,-2208,92,241
8480,-2409,131,260
8501,-2162,217,126
8522,-1771,328,46
8543,-1380,372,78
8565,-953,448,157
8586,-580,571,231
8607,-340,636,185
8629,-224,604,-17
8650,-171,591,-93
8671,11,723,24
8693,107,722,102
8715,-256,781,352
8736,-829,842,407
8757,-1805,858,315
8778,-2530,697,554
8800,-2427,628,741
8821,-2202,530,652
8842,-2359,269,654
8864,-2279,54,642
8885,-1756,-4,565
8906,-1211,-70,504
8927,-792,-168,399
8949,-493,-248,275
8970,-327,-267,161
8991,-179,-487,77
9014,64,-677,97
9035,125,-729,98
9057,100,-728,129
9078,-120,-878,159
9099,-649,-879,-144
9121,-1165,-454,53
9142,-1453,-262,559
9163,-1973,-272,427
9184,-2128,-80,181
9206,-2295,90,214
9227,-2397,271,305
9248,-2191,448,244
9270,-1771,577,241
9291,-1375,501,265
9313,-1069,403,345
9335,-764,1107,67
9356,-638,765,-88
9377,-273,497,-40
9399,60,774,-5
9420,146,786,36
9441,92,781,88
9463,-186,717,112
9484,-489,726,196
9505,-824,1002,323
9526,-1576,1283,484
9548,-2364,1073,613
9569,-2537,676,683
9590,-2526,705,654
9612,-2483,680,592
9633,-2033,474,454
9655,-1076,118,542
9676,-717,-164,391
9698,-531,-482,131
9719,-347,-720,50
9740,-100,-1010,124
9761,134,-1036,203
9783,165,-965,180
9804,-1,-868,134
9825,-339,-679,44
9847,-679,-633,-110
9868,-975,-463,-104
9889,-1138,-322,328
9910,-1514,-241,345
9932,-2221,-102,119
9953,-2648,84,173
9975,-2161,560,359
9996,-1971,529,296
10018,-1896,536,276
10039,-1577,644,228
10060,-1166,613,213
10081,-861,617,231
10103,-670,653,194
10124,-417,843,111
10145,-386,711,-35
10167,-205,570,-13
10188,-7,779,24
10209,-109,817,-1
10231,-227,666,48
10252,-388,757,195
10273,-1109,939,309
10295,-2577,615,638
10317,-2444,193,700
10338,-2455,401,528
10359,-2520,393,479
10380,-1986,62,594
10402,-1385,-121,445
10423,-1054,-217,237
10444,-819,-297,140
10466,-603,-351,180
10487,-382,-479,202
10508,-224,-812,149
10530,-67,-969,78
10551,70,-934,42
10573,131,-981,45
10594,-280,-739,-159
10616,-704,-496,-182
10637,-1245,-354,347
10658,-2063,-290,448
10680,-2438,-22,57
10701,-2274,239,13
10722,-2277,395,197
10744,-2137,463,200
10765,-1832,457,133
10786,-1630,459,174
10808,-1401,500,218
10829,-1108,554,172
10850,-873,486,102
10871,-697,427,72
10892,-493,415,40
10915,-126,432,-44
10936,-11,413,-89
10957,-3,466,-40
10979,-125,467,37
11000,-255,600,130
11021,-525,820,260
11043,-1482,1594,432
11064,-2898,1046,608
11085,-2884,-397,575
11106,-1915,-256,335
11128,-1698,319,83
11149,-1914,389,23
11170,-1813,81,85
11192,-1380,-29,111
11213,-1025,-41,26
11235,-707,-154,-47
11256,-544,-266,-61
11277,-375,-417,-29
11299,-242,-582,34
11320,-97,-885,132
11341,-17,-947,165
11363,-10,-943,153
11384,-82,-802,0
11405,-312,-652,-271
11427,-521,-485,90
11448,-1148,-533,607
11469,-2140,-521,431
11491,-2405,-213,26
11512,-2403,154,104
11535,-2599,241,292
11556,-2176,234,163
11577,-1767,251,180
11599,-1479,383,201
11620,-1282,543,117
11641,-1032,549,62
11663,-731,518,101
11684,-480,483,145
11705,-252,483,150
11727,-129,507,120
11748,-55,432,108
11769,62,392,113
11791,93,343,124
11812,-69,267,45
11835,-876,585,-131
11856,-2171,698,27
11877,-3235,93,247
11899,-2529,-302,52
11920,-1672,-206,-277
11941,-1774,-14,-374
11963,-2000,288,-227
11984,-1783,386,-67
12005,-1400,242,30
12026,-1153,136,20
12048,-1001,112,10
12069,-806,109,73
12090,-582,19,145
12112,-384,-154,176
12133,-229,-448,126
12155,44,-672,231
12176,164,-718,284
12197,208,-770,217
12219,41,-572,166
12240,-340,-389,424
12261,-1104,-409,577
12283,-1893,-272,456
12304,-2269,-14,364
12325,-2322,135,371
12347,-2302,210,338
12368,-2224,175,251
12389,-1947,124,185
12411,-1684,204,193
12432,-1476,365,227
12453,-1251,456,209
12475,-864,405,144
12496,-661,396,119
12518,-468,381,100
12539,-296,356,74
12560,-184,324,50
12582,-219,300,-41
12603,-333,319,-34
12624,-419,387,89
12646,-494,355,187
12667,-717,359,200
12688,-1069,542,176
12710,-1612,744,239
12731,-2231,810,236
12752,-2483,622,127
12774,-2261,290,188
12796,-2323,480,235
12817,-2075,402,315
12838,-1763,202,294
12860,-1482,85,212
12881,-1138,-74,129
12902,-716,-246,69
12924,-275,-599,20
12945,117,-805,-37
12966,395,-898,-26
12988,452,-863,26
13009,480,-789,87
13030,480,-767,121
13051,263,-738,-41
13072,-216,-746,-178
13095,-2223,-1089,581
13116,-2791,-943,608
13137,-2618,-623,661
13159,-2439,-330,701
13180,-2254,-109,599
13201,-2004,-32,504
13223,-1901,87,524
13244,-1851,291,554
13265,-1676,610,518
13286,-1427,694,414
13308,-1112,472,296
13329,-801,545,151
13350,-638,700,-24
13372,-277,819,-218
13393,-138,1007,-510
13415,-169,666,-173
13436,-266,778,78
13458,-517,754,271
13479,-1041,807,328
13500,-1848,864,595
13521,-2499,692,885
13543,-2548,366,971
13564,-2361,226,905
13585,-2382,326,811
13607,-2265,374,706
13628,-1947,180,570
13649,-1492,20,416
13671,-1104,-65,265
13692,-953,-187,191
13713,-889,-384,241
13735,-327,-1260,119
13757,-72,-1193,18
13778,-8,-1094,12
13799,-98,-918,28
13821,-216,-689,-33
13842,-393,-483,-254
13863,-551,-213,-335
13884,-653,-30,-34
13906,-1024,133,108
13927,-1747,307,29
13948,-2353,697,172
13970,-2767,1063,301
13991,-2543,894,364
14013,-2052,729,347
14035,-1613,864,204
14056,-1156,793,182
14077,-606,546,243
14099,-172,509,189
14120,186,543,283
14141,155,726,192
14163,112,554,-89
14184,61,222,-168
14205,-9,384,-48
14226,-12,678,64
14248,-157,738,291
14269,-801,1067,436
14290,-1822,1462,621
14312,-2634,988,578
14333,-2669,544,807
14355,-2577,694,852
14376,-2174,261,656
14398,-1645,199,672
14419,-1152,56,707
14440,-744,-207,571
14461,-484,-411,361
14483,-243,-777,178
14504,-23,-899,83
