timestamp,x,y,z
20,-228,210,907
43,-282,170,950
64,-402,175,963
85,-415,186,960
106,-446,183,964
127,-399,183,977
148,-352,206,957
169,-366,211,928
190,-325,184,913
212,-318,186,874
233,-306,196,866
254,-306,204,889
275,-312,188,918
296,-342,177,896
317,-422,174,858
338,-469,165,864
359,-504,163,901
380,-411,189,928
402,-626,184,692
423,-559,86,757
444,-503,81,902
465,-562,162,870
486,-613,210,702
507,-617,151,766
529,-780,76,789
550,-872,113,622
571,-793,124,646
592,-735,153,720
613,-680,157,728
634,-636,130,595
655,-672,94,464
676,-719,10,308
697,-644,-85,280
718,-720,-92,422
740,-817,-114,273
762,-927,-26,279
783,-943,20,311
804,-962,27,325
825,-967,-25,312
846,-969,-102,294
867,-972,-159,191
888,-1029,-181,81
909,-1085,-193,17
930,-1037,-200,-17
951,-1052,-212,-103
973,-1144,-198,-60
994,-1081,-200,59
1015,-910,-228,39
1036,-725,-262,-142
1057,-687,-371,-357
1078,-720,-448,-400
1099,-596,-406,-301
1120,-485,-448,-262
1142,-562,-533,-286
1163,-604,-540,-358
1184,-798,-621,-440
1205,-868,-736,-460
1226,-720,-728,-394
1248,-602,-625,-349
1269,-664,-567,-320
1290,-602,-575,-343
1311,-524,-595,-403
1332,-511,-626,-616
1353,-753,-750,-838
1374,-884,-806,-755
1395,-637,-747,-494
1416,-615,-662,-408
1438,-737,-653,-409
1459,-746,-713,-408
1481,-606,-713,-435
1502,-511,-594,-367
1523,-631,-639,-304
1545,-800,-711,-282
1566,-854,-751,-258
1587,-783,-730,-263
1608,-658,-692,-271
1629,-545,-696,-261
1650,-461,-731,-238
1671,-385,-745,-211
1692,-364,-519,-179
1713,-372,-587,-180
1735,-459,-959,-161
1756,-566,-986,-151
1777,-593,-1072,-134
1798,-519,-915,-129
1819,-435,-615,-153
1840,-462,-649,-158
1862,-576,-907,-156
1883,-563,-816,-135
1905,-493,-735,-106
1926,-381,-706,-85
1947,-287,-798,-107
1968,-309,-868,-141
1989,-262,-1032,-87
2010,-223,-1008,-63
2032,-286,-899,-40
2053,-408,-690,-27
2074,-449,-682,7
2095,-481,-759,20
2116,-493,-852,39
2138,-508,-813,28
2159,-524,-772,58
2181,-385,-871,61
2203,-384,-891,42
2224,-424,-941,14
2245,-458,-994,10
