timestamp,x,y,z
19,-348,228,799
40,-333,232,810
61,-238,216,801
81,-271,225,853
102,-303,256,975
122,-310,244,969
143,-402,237,931
163,-483,253,896
183,-520,240,850
204,-476,247,839
224,-479,240,773
245,-606,190,731
265,-736,225,815
285,-695,255,874
306,-549,94,815
326,-595,46,746
347,-797,103,784
367,-819,181,819
388,-618,312,810
408,-509,409,694
428,-590,356,712
449,-703,309,569
469,-756,241,509
490,-838,226,462
510,-839,215,506
531,-791,253,408
551,-661,248,261
572,-533,117,176
593,-714,51,-87
613,-968,-52,58
633,-930,123,356
654,-850,193,300
674,-812,67,255
695,-853,8,267
715,-907,-19,381
736,-1164,-31,367
756,-1256,7,237
777,-1009,24,137
797,-799,6,132
818,-652,-3,192
838,-729,-91,181
859,-882,-287,133
879,-983,-364,-12
900,-1186,-361,-166
920,-1101,-328,-161
941,-792,-291,-39
961,-681,-338,-30
982,-844,-466,-121
1002,-951,-514,-152
1023,-823,-465,-132
1044,-698,-553,-99
1064,-612,-650,-92
1085,-548,-716,-98
1106,-549,-839,-95
1126,-659,-971,-121
1147,-757,-1044,-156
1167,-676,-1039,-139
1188,-557,-1028,-122
1209,-488,-1030,-109
1229,-432,-1032,-69
1250,-486,-986,-92
1270,-556,-1095,-56
1291,-465,-1372,-58
1312,-589,-1402,0
1332,-479,-914,-23
1353,-443,-722,-18
1374,-455,-711,-20
1394,-523,-887,-10
1415,-523,-1004,-4
1435,-451,-1016,1
1456,-416,-1010,-16
1477,-368,-994,-27
1497,-315,-970,-36
1518,-323,-930,-66
1538,-341,-884,-76
1559,-324,-829,-67
1580,-315,-791,-62
1600,-330,-756,-62
1621,-356,-743,-65
1642,-353,-721,-64
1662,-330,-687,-57
1683,-303,-672,-37
1703,-297,-688,-38
1724,-317,-745,-49
1745,-302,-811,-36
1765,-290,-849,-33
1786,-299,-921,-44
1806,-321,-1026,-48
1827,-347,-1127,-55
1848,-374,-1178,-87
1868,-384,-1163,-95
1889,-404,-1307,-86
1910,-422,-1346,-139
1930,-419,-1048,-171
1951,-429,-893,-184
1971,-318,-762,-125
1992,-302,-789,-182
2013,-270,-809,-96
2033,-299,-935,-94
2054,-310,-1025,-127
2075,-294,-1001,-126
2095,-326,-953,-131
2116,-380,-943,-142
2136,-401,-914,-155
2157,-385,-880,-154
2178,-334,-839,-114
2198,-315,-776,-98
2219,-314,-736,-92
2240,-312,-728,-91
