timestamp,x,y,z
19,-384,26,832
40,-399,2,870
61,-434,6,884
81,-452,1,912
102,-422,-14,966
122,-425,-20,958
142,-410,21,932
163,-409,11,908
183,-453,-3,863
204,-435,36,856
224,-422,26,887
244,-452,3,895
265,-530,-14,890
285,-542,-38,886
306,-524,-7,868
326,-601,38,792
346,-658,0,816
367,-463,45,937
387,-336,65,778
408,-547,-8,682
428,-702,2,736
449,-708,12,697
469,-742,-29,713
489,-809,6,769
510,-776,14,841
530,-673,18,925
551,-689,149,694
571,-983,92,697
592,-1143,20,597
612,-992,58,558
632,-686,142,516
653,-628,218,475
673,-710,223,323
694,-765,161,247
714,-771,111,181
734,-728,89,141
755,-721,71,136
775,-688,76,136
796,-740,79,124
816,-776,74,99
837,-761,39,86
857,-704,2,55
877,-642,-22,23
898,-587,-56,52
918,-594,-91,209
939,-701,-260,302
959,-1067,-521,281
980,-1317,-552,176
1000,-1092,-497,44
1020,-817,-533,-44
1041,-752,-517,-23
1061,-897,-650,26
1082,-1058,-805,14
1102,-1150,-845,13
1123,-1014,-813,-16
1143,-811,-791,-37
1164,-694,-844,-57
1184,-680,-844,-75
1204,-650,-814,-104
1225,-667,-857,-146
1245,-734,-1052,-157
1266,-713,-1159,-82
1286,-532,-1025,-53
1306,-522,-890,-69
1327,-574,-815,-82
1347,-552,-789,-75
1368,-550,-779,-47
1388,-540,-801,-22
1409,-551,-883,-16
1429,-575,-957,-32
1450,-569,-973,-56
1470,-522,-959,-59
1490,-506,-909,-64
1511,-515,-867,-68
1531,-495,-858,-57
1552,-478,-855,-40
1572,-441,-770,-26
1593,-418,-703,-23
1613,-412,-680,-8
1634,-383,-690,-5
1654,-380,-730,-7
1675,-357,-751,0
1695,-342,-781,4
1716,-392,-756,-39
1736,-427,-755,-61
1757,-424,-775,-66
1777,-434,-824,-80
1797,-462,-878,-102
1818,-483,-936,-111
1838,-499,-990,-118
1859,-520,-990,-138
1879,-550,-922,-176
1900,-559,-888,-190
1920,-510,-1135,-78
1941,-510,-1466,-8
1961,-558,-1288,-82
1982,-581,-926,-152
2002,-510,-763,-139
2023,-438,-695,-96
2043,-455,-734,-55
2064,-502,-824,-37
2084,-526,-940,-33
2105,-465,-1004,-34
2125,-376,-998,-56
2146,-361,-923,-74
2166,-399,-827,-92
2187,-422,-762,-82
2208,-436,-750,-79
2228,-466,-708,-90
2249,-452,-751,-89
2269,-402,-747,-84
2290,-445,-725,-98
2310,-402,-764,-85
2331,-384,-750,-71
2352,-410,-744,-77
2372,-404,-743,-93
2393,-400,-747,-99
2413,-459,-725,-112
2434,-554,-730,-115
2455,-568,-771,-87
2475,-610,-885,-36
2496,-660,-897,-17
2516,-676,-891,-20
2537,-659,-864,-22
2558,-668,-1008,-2
2578,-682,-1224,-9
2599,-617,-1183,6
2619,-532,-1043,15
2640,-499,-867,-5
2660,-485,-732,-18
2681,-453,-723,0
2702,-497,-819,0
2722,-463,-927,-7
2743,-364,-997,-4
2763,-360,-988,-22
2784,-343,-889,-42
2805,-309,-795,-53
2825,-322,-803,-58
2846,-337,-827,-53
2866,-330,-828,-50
2887,-304,-813,-47
2907,-299,-786,-39
2928,-311,-784,-34
2949,-327,-807,-33
2969,-370,-830,-39
2990,-390,-822,-33
3010,-392,-798,-25
3031,-411,-795,-31
3052,-458,-804,-50
3072,-501,-828,-49
3093,-538,-867,-44
3113,-566,-886,-36
3134,-570,-921,-19
3155,-560,-944,-8
3175,-548,-848,-24
3196,-559,-957,33
3216,-572,-1307,82
3237,-584,-1425,62
3257,-533,-1128,-1
3278,-474,-799,-41
3299,-445,-665,-30
3319,-461,-679,-11
3340,-501,-819,-1
3361,-487,-931,0
3381,-434,-991,-11
3402,-382,-1023,-34
3422,-366,-968,-69
3443,-389,-865,-86
