timestamp,x,y,z
85597,-101,158,981
85619,-100,154,990
85641,-99,159,983
85662,-102,160,974
85683,-101,149,977
85704,-92,147,977
85726,-89,153,975
85747,-93,151,976
85768,-84,144,980
85790,-78,148,973
85811,-82,154,971
85832,-67,155,980
85854,-75,170,980
85875,-69,167,976
85896,-73,168,981
85918,-69,169,988
85939,-70,163,990
85960,-81,159,983
85981,-87,151,992
86002,-84,147,991
86024,-86,147,994
86045,-92,156,992
86066,-84,170,989
86087,-78,164,1001
86108,-111,200,975
86129,-75,181,974
86150,-71,168,968
86171,-75,167,969
86193,-61,158,986
86214,-72,158,983
86236,-79,159,981
86257,-79,157,982
86278,-79,163,977
86299,-85,162,976
86320,-75,156,985
86341,-57,155,988
86363,-74,156,987
86384,-86,152,994
86405,-80,147,987
86426,-86,150,994
86447,-81,151,1000
86468,-82,163,1008
86490,-78,170,1009
86511,-64,172,1000
86532,-95,171,1037
86554,-141,205,925
86575,13,143,1147
86596,-120,254,1100
86617,-152,312,901
86638,-38,110,885
86659,-24,26,968
86681,-112,136,946
86702,-151,177,927
86723,-130,118,971
86744,-184,131,993
86765,-255,207,967
86786,-255,239,959
86808,-212,229,943
86829,-233,195,870
86850,-239,151,902
86871,-231,106,945
86893,-274,96,969
86914,-355,75,944
86936,-334,90,966
86957,-261,168,1110
86978,-397,271,1004
86999,-560,133,940
87020,-396,34,852
87041,-79,-30,849
87063,-359,-31,861
87084,-832,-5,814
87105,-752,47,964
87126,-473,143,1112
87147,-278,255,1087
87168,-167,174,1117
87190,-353,77,949
87211,-550,119,912
87232,-459,213,814
87254,-487,175,862
87275,-551,131,973
87296,-644,239,818
87317,-746,443,655
87338,-762,327,613
87360,-819,210,809
87381,-439,192,689
87402,-518,329,422
87423,-901,351,298
87444,-986,487,236
87465,-855,435,317
87487,-810,292,236
87508,-693,175,300
87529,-594,140,363
87550,-687,222,385
87571,-903,278,401
87593,-979,304,176
87614,-911,248,158
87636,-820,349,183
87657,-838,394,167
87678,-890,337,89
87699,-838,297,112
87721,-791,293,147
87742,-900,246,180
87763,-960,237,194
87785,-840,277,206
87806,-743,272,238
87827,-861,268,92
87848,-998,254,13
87870,-798,264,241
87891,-749,225,264
87913,-1150,-70,376
87935,-1146,-62,408
87956,-939,-8,390
87977,-725,12,353
87998,-764,-69,271
88019,-806,-198,148
88040,-786,-248,101
88062,-764,-197,83
88083,-746,-220,8
88104,-794,-319,-32
88126,-808,-376,-40
88147,-807,-442,-35
88168,-928,-651,-47
88190,-989,-823,-62
88211,-980,-799,-111
88232,-925,-698,-187
88254,-628,-592,-229
88275,-437,-462,-266
88297,-375,-595,-275
88318,-467,-974,-281
88339,-595,-1118,-234
88361,-663,-1042,-142
88382,-678,-906,-87
88403,-675,-694,-95
88425,-746,-740,-53
88446,-716,-913,-99
88467,-651,-851,-135
88488,-713,-765,-110
88510,-842,-845,-129
88531,-734,-929,-167
88553,-758,-933,-189
88575,-773,-900,-199
88596,-736,-866,-197
88617,-705,-831,-186
88639,-735,-934,-152
88660,-786,-1131,-111
88681,-774,-1213,-90
88703,-747,-1136,-103
88724,-668,-948,-127
88745,-562,-759,-145
88766,-528,-701,-136
88788,-625,-802,-99
88809,-647,-913,-52
88830,-681,-846,-48
88851,-747,-962,-25
88874,-517,-1166,21
88895,-418,-1255,2
