timestamp,x,y,z
203362,-453,372,807
203384,-421,357,839
203405,-369,367,850
203427,-352,366,839
203448,-386,357,814
203469,-394,345,833
203491,-383,335,841
203511,-396,367,813
203533,-398,364,855
203555,-457,410,834
203576,-477,412,793
203597,-479,417,764
203618,-503,488,826
203639,-635,544,864
203661,-623,427,635
203682,-768,351,598
203703,-899,423,767
203724,-804,332,848
203745,-686,356,702
203767,-620,424,552
203788,-518,229,568
203809,-477,118,701
203830,-510,243,534
203852,-471,515,333
203874,-591,317,370
203895,-746,319,171
203916,-844,312,130
203937,-823,339,254
203959,-806,443,336
203980,-857,460,397
204001,-842,430,334
204023,-873,440,234
204044,-958,441,158
204065,-934,443,151
204087,-866,433,193
204108,-840,351,188
204130,-869,318,141
204151,-896,296,47
204172,-807,250,-17
204194,-698,104,-91
204215,-839,-41,-36
204236,-1078,-207,43
204257,-1112,-362,111
204279,-940,-479,58
204300,-821,-524,-57
204321,-758,-516,-139
204342,-737,-621,-127
204363,-869,-786,-74
204385,-1033,-884,61
204406,-1099,-964,151
204427,-1105,-992,108
204448,-1018,-843,37
204469,-924,-578,-41
204491,-859,-491,-59
204511,-826,-498,-41
204533,-704,-567,-40
204555,-715,-610,-44
204576,-652,-582,-61
204597,-600,-562,-47
204618,-702,-405,-2
204639,-652,-689,61
204661,-457,-970,77
204682,-536,-887,100
204703,-699,-772,93
204724,-645,-717,95
204746,-570,-824,135
204767,-673,-913,194
204788,-797,-931,240
204810,-826,-955,274
204831,-822,-903,284
204852,-814,-948,288
204874,-889,-1418,225
204895,-709,-964,192
204917,-530,-636,184
204938,-486,-578,191
204959,-613,-867,192
204981,-727,-1205,226
205002,-724,-1267,268
205023,-637,-1204,301
205045,-554,-1130,300
205066,-465,-979,262
205087,-383,-831,207
205109,-277,-733,150
205130,-216,-703,95
205151,-274,-476,98
205173,-293,-674,108
205195,-336,-717,112
205216,-395,-704,116
205238,-431,-705,104
205259,-395,-824,83
205280,-370,-852,84
205302,-328,-823,99
205323,-252,-846,129
205345,-224,-888,162
205366,-275,-959,209
205387,-394,-1038,264
205409,-497,-1294,251
205430,-610,-1359,140
205452,-705,-927,-122
205474,-519,-1018,42
205495,-452,-1147,206
205517,-453,-1254,235
205538,-508,-1180,192
205559,-520,-1095,99
205581,-490,-1097,27
205602,-473,-993,17
205623,-475,-850,51
205645,-479,-745,40
205666,-464,-803,-20
205688,-474,-539,-56
205709,-428,-488,-38
205730,-410,-439,3
205751,-453,-421,35
205773,-428,-568,43
205795,-537,-556,64
205816,-597,-697,77
205838,-588,-767,113
205859,-581,-826,178
205880,-630,-895,254
205902,-778,-1008,302
205923,-865,-1275,301
205945,-819,-1449,239
205966,-682,-1120,156
205987,-632,-960,169
206009,-699,-1255,160
206030,-791,-1192,10
206051,-738,-816,-10
206074,-557,-666,138
206095,-689,-929,183
206116,-752,-1400,230
206138,-560,-1483,244
206159,-421,-1076,150
206180,-335,-1005,145
206202,-230,-833,123
206223,-87,-634,76
206244,-84,-502,41
206266,-194,-408,11
206287,-278,-482,21
206309,-326,-541,62
206330,-350,-656,98
206351,-382,-806,110
206374,-359,-868,56
206395,-342,-922,61
206416,-318,-987,106
206438,-305,-1043,172
206459,-364,-1267,302
206480,-562,-1667,409
206502,-660,-1609,290
206523,-708,-978,-151
206545,-545,-804,-258
206566,-295,-1163,101
206587,-379,-1438,345
206609,-451,-1350,276
206630,-513,-1170,170
206652,-571,-1075,43
206674,-425,-676,-86
206695,-425,-592,-8
206716,-527,-432,29
206738,-492,-608,3
206759,-425,-453,16
206781,-368,-496,82
206802,-454,-587,156
206823,-520,-697,196
206845,-518,-744,198
206866,-575,-774,195
206888,-616,-803,196
206909,-599,-740,193
206930,-545,-719,176
206951,-572,-736,168
206973,-711,-989,194
206995,-721,-1015,188
207016,-692,-1000,259
207038,-750,-1408,401
207059,-903,-1873,220
207080,-833,-1488,37
207102,-598,-882,21
207123,-479,-571,0
207145,-511,-693,-6
207166,-685,-989,39
207187,-850,-1377,83
207209,-562,-1413,171
207230,-381,-1063,199
207251,-259,-849,213
207273,-258,-555,32
207295,-225,-563,49
207316,-217,-528,85
207338,-289,-460,97
207359,-321,-621,86
207380,-355,-667,78
207402,-326,-723,115
207423,-307,-891,92
207445,-379,-910,88
207466,-363,-1015,19
207487,-279,-1159,61
207509,-270,-1199,115
207530,-427,-1081,103
207551,-553,-1404,95
207573,-468,-994,58
207595,-417,-571,-196
207616,-512,-808,-200
207637,-640,-1311,-30
207659,-588,-1291,-5
207680,-523,-1093,-53
207702,-597,-993,-50
207723,-607,-863,-96
207744,-538,-700,-155
207766,-502,-634,-152
207787,-512,-660,-100
207809,-515,-637,-60
207830,-504,-583,-53
207852,-489,-468,-21
207874,-437,-760,18
207895,-460,-617,70
207916,-494,-680,82
207938,-581,-669,92
207959,-560,-751,91
207980,-547,-748,92
208002,-576,-701,95
208023,-629,-767,113
208045,-676,-884,129
208066,-722,-1030,123
208087,-743,-1011,104
208109,-757,-1052,184
208130,-903,-1458,216
208151,-1074,-1547,40
208173,-520,-728,94
208195,-468,-653,124
208216,-590,-782,111
208238,-674,-1050,119
208259,-617,-1229,179
208280,-517,-1022,164
208302,-514,-968,124
208323,-458,-910,119
208345,-264,-716,126
208366,-239,-598,84
208387,-365,-717,82
208409,-375,-692,84
208430,-371,-665,79
208452,-369,-693,70
208474,-365,-707,44
208495,-340,-746,27
208516,-342,-796,17
208538,-386,-868,41
208559,-437,-939,75
208581,-457,-944,60
208602,-453,-1018,84
208623,-573,-1455,203
208645,-764,-1547,168
208666,-652,-964,-56
208687,-499,-706,-113
208709,-544,-778,-46
208730,-688,-895,-35
208751,-725,-1014,-31
208773,-619,-988,74
208795,-524,-870,71
208816,-406,-744,9
208838,-347,-633,-23
