timestamp,x,y,z
20,-556,272,778
42,-541,300,770
63,-482,286,784
84,-522,261,788
105,-551,285,784
126,-543,326,762
148,-546,290,795
169,-570,302,785
190,-583,319,776
211,-588,283,765
233,-535,259,766
254,-524,268,742
275,-557,276,710
296,-560,291,708
318,-520,311,740
339,-555,299,719
360,-562,300,706
381,-541,299,781
402,-570,286,757
423,-539,260,748
444,-536,283,735
465,-599,289,748
487,-561,327,813
508,-486,354,856
529,-554,323,826
550,-595,317,805
571,-658,333,821
593,-680,331,736
614,-723,318,656
635,-720,312,615
656,-634,397,602
677,-614,369,591
699,-409,150,636
720,-437,215,677
741,-527,235,641
762,-577,259,713
783,-670,279,716
804,-698,313,717
825,-618,310,734
846,-608,303,733
868,-646,420,706
889,-696,506,697
910,-745,441,727
932,-744,398,789
953,-832,480,778
974,-851,448,848
996,-819,402,916
1017,-929,314,954
1038,-1073,274,991
1059,-1036,172,999
1080,-912,76,1062
1101,-887,75,966
1122,-988,29,822
1143,-1000,3,639
1165,-845,-27,426
1186,-595,-115,337
1207,-520,-237,340
1228,-557,-372,304
1249,-515,-380,237
1270,-478,-174,247
1291,-488,-31,133
1313,-515,-3,119
1334,-705,-19,213
1355,-1023,-72,239
1377,-1143,-46,165
1398,-978,29,195
1419,-650,-68,197
1440,-729,-29,212
1461,-1102,-232,187
1482,-1302,-238,148
1503,-1078,-202,75
1525,-1020,-78,41
1546,-979,-240,61
1567,-893,-401,23
1588,-1091,-249,36
1609,-1473,-373,-64
1630,-1722,-432,-114
1651,-1421,-293,27
1673,-1047,-252,-46
1694,-1229,-384,-97
1715,-1201,-321,-97
1737,-1047,-310,-71
1758,-1170,-379,-75
1779,-1201,-460,-67
1800,-1087,-456,-35
1821,-961,-562,14
1843,-845,-590,32
1864,-757,-489,1
1885,-662,-460,8
1906,-577,-518,45
1928,-520,-474,36
1949,-476,-382,21
1970,-404,-359,28
1991,-371,-421,-4
2013,-407,-455,-18
2034,-486,-587,55
2055,-629,-707,84
2077,-587,-794,-40
2098,-496,-776,-60
2119,-727,-1105,-12
2140,-893,-1346,78
2162,-867,-1213,141
2183,-932,-1043,113
2204,-900,-1052,129
2225,-805,-1146,84
2246,-843,-1071,-66
2268,-746,-1045,-212
2289,-408,-934,-254
2310,-89,-772,-266
2331,-2,-928,-245
2353,15,-1005,-248
2375,-83,-1076,-271
2396,-256,-893,-295
2417,-446,-768,-329
2438,-593,-672,-350
2460,-686,-470,-366
2481,-611,-458,-348
2502,-523,-432,-270
2524,-497,-357,-211
2545,-517,-342,-201
2566,-553,-463,-216
2587,-559,-664,-213
2609,-571,-861,-204
2630,-589,-960,-203
2653,-669,-1117,-157
2674,-656,-1228,-166
2695,-705,-1405,-183
2717,-705,-1507,-231
2738,-786,-1388,-275
