timestamp,x,y,z
20,-229,206,944
42,-231,222,923
63,-247,232,922
85,-259,240,927
106,-270,255,938
127,-289,243,975
148,-315,229,958
169,-348,232,965
190,-367,220,957
212,-341,204,932
233,-270,195,896
254,-285,204,877
275,-304,212,867
296,-291,200,867
317,-249,219,884
338,-301,232,868
359,-375,217,862
381,-381,236,893
402,-289,282,906
423,-318,249,871
444,-433,253,886
466,-578,261,937
487,-589,219,898
508,-531,258,779
529,-651,330,895
550,-762,353,879
571,-741,341,742
592,-637,315,675
613,-568,298,736
635,-523,256,729
656,-532,238,669
677,-536,246,578
698,-573,229,520
719,-584,200,422
740,-530,156,297
761,-584,160,252
782,-753,184,227
803,-843,151,191
825,-909,56,234
846,-655,158,346
867,-650,233,329
889,-975,215,227
910,-1196,183,197
931,-1165,158,210
952,-978,163,187
973,-849,130,102
994,-790,90,2
1015,-712,14,-106
1036,-507,-102,-210
1057,-350,-246,-268
1079,-406,-476,-390
1100,-838,-850,-459
1121,-1051,-1037,-412
1142,-975,-1143,-426
1163,-893,-1140,-471
1185,-703,-721,-416
1206,-645,-785,-286
1227,-595,-704,-174
1248,-494,-839,-68
1270,-458,-1049,16
1291,-500,-1207,0
1312,-543,-1482,-81
1333,-664,-1198,-38
1354,-683,-896,24
1375,-548,-840,25
1396,-473,-733,21
1417,-532,-625,-52
1438,-569,-570,-38
1459,-516,-626,-26
1481,-475,-669,-95
1502,-482,-717,-177
1523,-482,-811,-268
1544,-456,-852,-336
1566,-320,-573,1
1587,-441,-693,85
1608,-835,-984,66
1629,-924,-1170,260
1650,-661,-984,330
1671,-667,-842,286
1693,-775,-826,220
1714,-829,-895,0
1735,-984,-1271,-157
1756,-1160,-1669,299
1777,-792,-1255,437
1798,-166,-770,254
1820,167,-708,293
1841,426,-631,267
1862,439,-579,194
1883,61,-806,364
1905,-171,-1141,129
1926,108,-796,196
1948,-131,-725,113
1969,-442,-792,57
1990,-611,-838,52
2011,-551,-807,114
2032,-416,-695,160
2054,-363,-634,175
2075,-382,-653,227
2096,-370,-749,257
2117,-313,-804,274
2138,-284,-867,238
2160,-286,-885,142
2181,-224,-853,50
2202,-144,-953,107
2223,-231,-1012,262
2245,-693,-1182,273
2267,-634,-1060,265
2288,-495,-1134,496
2309,-479,-1473,643
2331,-476,-1627,475
2352,-351,-1213,64
2373,-267,-741,-202
2395,-158,-666,-127
2416,-21,-777,-14
2437,-10,-1048,129
2458,-144,-1622,197
2480,-163,-1592,233
