timestamp,x,y,z
0,387,858,-262
20,402,878,-259
41,423,912,-262
61,419,934,-274
82,403,946,-279
102,385,947,-283
123,363,935,-280
143,350,916,-274
164,356,903,-272
184,378,901,-281
205,402,910,-291
225,417,908,-292
245,417,892,-281
266,410,874,-275
286,400,860,-287
307,395,845,-293
327,411,842,-293
348,433,825,-289
368,443,816,-283
389,445,810,-278
409,448,815,-274
430,447,815,-271
450,448,819,-263
471,448,820,-258
491,444,813,-258
512,438,806,-256
532,438,812,-246
553,442,820,-244
573,438,829,-247
594,441,839,-252
614,444,839,-258
635,449,838,-257
655,474,829,-268
676,473,825,-274
696,497,833,-285
717,510,850,-299
737,502,852,-309
758,498,846,-307
778,495,838,-304
799,485,847,-309
819,477,878,-314
840,500,935,-294
860,564,1077,-310
881,559,1074,-354
901,476,1018,-313
922,496,1054,-271
942,468,986,-290
963,358,851,-271
983,306,743,-229
1004,353,717,-208
1024,479,784,-219
1045,473,882,-250
1065,463,974,-251
1086,449,1022,-239
1106,401,1022,-215
1127,343,999,-201
1147,310,954,-205
1168,311,901,-211
1188,329,845,-208
1209,355,789,-195
1229,385,758,-181
1250,400,752,-180
1270,391,765,-189
1291,376,789,-203
1311,362,810,-208
1332,360,842,-213
1352,373,873,-219
1373,392,894,-226
1393,421,906,-231
1414,450,910,-231
1434,466,907,-229
1455,469,898,-232
1475,427,920,-243
1496,414,957,-253
1516,403,978,-266
1537,433,1081,-251
1557,550,1351,-281
1578,534,1382,-334
1598,397,1181,-300
1619,375,944,-229
1639,334,659,-195
1660,299,543,-192
1680,377,615,-213
1701,434,720,-237
1721,423,847,-238
1742,402,945,-235
1762,361,970,-244
1783,315,914,-266
1803,330,831,-264
1824,375,771,-237
1844,417,739,-211
1865,463,729,-199
1885,494,750,-201
1906,470,764,-209
1926,402,752,-217
1947,362,730,-225
1967,339,721,-238
1988,337,729,-255
2008,374,771,-267
2029,429,841,-277
2049,464,892,-288
2070,471,933,-292
2090,458,960,-302
2111,457,969,-316
2131,454,976,-333
2152,444,986,-343
2173,448,1038,-332
2193,496,1234,-344
