timestamp,x,y,z
0,435,875,-300
20,435,817,-312
41,448,774,-312
61,461,768,-296
82,492,777,-284
102,531,809,-278
122,560,851,-274
143,564,867,-272
163,567,877,-271
184,544,882,-275
204,494,863,-279
225,460,847,-272
245,452,854,-263
266,452,867,-266
286,448,854,-274
307,441,810,-271
327,428,757,-260
348,426,722,-245
368,426,720,-234
389,426,754,-230
409,425,803,-226
430,414,854,-221
450,403,895,-205
471,450,1027,-190
491,524,1178,-229
512,504,1173,-268
532,449,1119,-259
553,386,937,-215
573,306,678,-127
594,293,634,-93
614,412,779,-146
635,501,884,-213
655,532,1005,-231
676,549,1054,-208
696,492,1009,-172
717,406,903,-135
737,338,792,-135
758,324,768,-169
778,362,822,-208
799,427,873,-204
819,427,870,-162
840,391,857,-178
860,351,861,-193
881,331,872,-193
901,345,891,-191
922,384,915,-193
942,403,910,-195
963,426,935,-192
983,468,1007,-197
1004,472,1086,-214
1024,434,1129,-233
1045,416,1181,-216
1065,496,1395,-219
1086,493,1382,-268
1106,372,1168,-241
1127,339,960,-197
1147,268,653,-180
1168,258,574,-188
1188,359,727,-218
1209,394,884,-247
1229,386,1012,-250
1250,369,996,-252
1270,314,904,-253
1291,261,804,-253
1311,250,701,-251
1332,296,662,-243
1352,350,678,-236
1373,373,698,-240
1393,382,692,-235
1414,366,675,-239
1434,354,696,-260
1455,360,731,-288
1475,370,760,-302
1496,384,791,-294
1516,418,840,-287
1537,448,919,-299
1557,460,968,-313
1578,467,1029,-315
1598,465,1096,-295
1619,562,1527,-335
1640,480,1255,-336
1660,338,898,-218
1681,290,717,-80
1701,368,853,-72
1722,472,1033,-150
1743,512,1083,-193
1763,508,1057,-164
1784,469,942,-105
1804,440,832,-65
1825,406,741,-68
1846,373,703,-92
1866,376,693,-112
1887,410,683,-109
1907,425,682,-105
1928,436,689,-118
1949,440,695,-144
1969,441,742,-167
1990,474,840,-190
2010,505,990,-228
2031,500,1100,-270
2051,457,1112,-284
2072,413,1080,-288
2092,383,1050,-299
2113,322,1026,-306
2133,320,1041,-279
2154,481,1363,-269
2175,619,1621,-382
2195,445,1315,-406
2216,265,912,-318
2236,297,715,-286
2257,375,773,-273
2278,443,931,-291
2298,466,962,-302
2319,349,952,-291
2339,204,871,-233
2360,269,808,-202
2381,263,775,-216
2401,154,725,-241
2422,213,652,-247
2443,360,715,-219
2464,443,612,-172
2485,399,658,-176
2505,330,635,-172
2526,426,627,-158
2547,347,668,-205
2568,242,737,-245
2588,285,854,-264
2609,378,958,-265
2630,439,1066,-265
2651,425,1092,-264
2672,492,1204,-232
2692,644,1460,-262
2713,574,1414,-332
2734,355,1094,-331
2755,345,833,-208
2776,395,793,-81
2796,416,977,-112
2817,509,1105,-216
2838,538,1125,-262
2859,495,903,-154
2880,419,785,-128
2901,368,708,-132
2922,367,705,-146
2942,367,725,-178
2963,376,720,-171
2984,393,700,-143
3005,404,698,-138
3026,432,734,-160
3047,481,810,-193
3067,515,925,-213
3088,518,1036,-229
3109,514,1102,-243
3130,482,1104,-253
3151,433,1069,-261
3172,394,1019,-283
3193,446,1166,-305
3213,571,1580,-387
3234,482,1521,-477
3255,227,978,-379
3276,314,796,-268
3297,487,999,-349
3318,447,1152,-449
3338,415,1136,-411
3359,258,990,-289
3380,235,960,-239
3401,239,864,-234
3422,287,844,-231
3443,148,810,-228
3463,16,670,-241
3484,267,645,-168
3505,463,645,-111
3526,336,563,-146
3547,251,654,-137
3568,414,534,-128
3588,480,571,-154
