timestamp,x,y,z
0,351,911,-202
20,345,910,-205
41,353,908,-209
61,360,901,-210
82,354,909,-214
102,350,926,-217
123,355,932,-215
143,355,935,-209
163,356,936,-205
184,356,939,-201
204,359,942,-203
225,365,938,-200
245,382,935,-194
266,406,932,-194
286,410,924,-192
307,417,912,-188
327,420,896,-186
348,416,893,-185
368,421,897,-183
389,438,900,-182
409,462,895,-178
430,475,876,-171
450,482,868,-166
471,489,870,-168
491,485,870,-173
512,472,864,-174
532,448,861,-178
553,437,868,-183
573,436,873,-189
594,437,871,-187
614,437,878,-183
635,444,892,-180
655,443,904,-180
676,446,932,-188
696,450,944,-204
717,452,966,-210
737,462,1015,-212
758,452,1061,-217
778,431,1103,-222
799,415,1169,-223
819,461,1246,-229
840,467,1340,-228
860,494,1424,-229
881,511,1442,-227
901,461,1342,-216
922,382,1158,-201
942,337,975,-192
963,304,812,-190
983,312,837,-207
1004,350,896,-220
1024,330,901,-229
1045,293,853,-227
1065,274,791,-219
1086,266,741,-209
1106,275,716,-205
1127,297,722,-205
1147,310,712,-206
1168,317,690,-207
1188,318,677,-199
1209,309,675,-194
1229,298,668,-190
1250,288,671,-189
1270,283,681,-189
1291,294,693,-195
1311,317,716,-206
1332,348,751,-212
1352,380,796,-223
1373,418,846,-240
1393,437,887,-253
1414,433,919,-264
1435,463,935,-269
1455,479,959,-281
1475,490,1013,-291
1496,520,1079,-302
1517,547,1162,-306
1537,571,1259,-301
1558,576,1279,-304
1578,547,1225,-297
1599,542,1181,-288
1619,515,1083,-293
1640,454,937,-263
1660,402,827,-197
1681,375,859,-136
1701,379,1017,-128
1722,380,1070,-164
1742,356,1008,-189
1763,327,872,-167
1783,341,705,-76
1804,349,709,-79
1824,354,704,-86
1845,333,698,-88
1865,307,700,-91
1886,287,698,-99
1906,274,689,-112
1927,287,684,-128
1947,286,696,-136
1968,303,700,-146
1988,359,749,-149
2009,364,823,-160
2030,376,893,-177
2050,394,945,-189
2071,396,981,-203
2091,397,1014,-206
2112,392,1027,-207
2133,378,1052,-210
2153,390,1078,-228
2174,400,1083,-244
2194,412,1145,-243
2215,424,1206,-241
2236,428,1245,-229
2256,408,1284,-222
2277,400,1285,-231
2297,411,1265,-238
2318,416,1240,-234
2338,399,1096,-232
2359,398,926,-205
2379,360,824,-176
2400,342,836,-168
2420,361,893,-189
2441,353,893,-221
2461,327,852,-222
2482,327,823,-200
2502,346,793,-191
2523,348,738,-196
2544,351,725,-193
2564,341,720,-196
2585,327,706,-203
2605,312,681,-206
2626,302,667,-202
2647,300,660,-195
2667,301,667,-191
2688,317,698,-191
2708,335,742,-196
2729,355,805,-206
2750,379,877,-217
2770,395,925,-229
2791,398,941,-231
2811,400,950,-225
2832,412,976,-226
2853,427,1022,-238
2873,436,1071,-259
2894,430,1111,-269
2915,420,1133,-261
2936,418,1187,-250
2956,411,1240,-259
2977,432,1243,-265
2998,439,1183,-262
3019,400,1048,-236
3039,378,913,-209
3060,381,865,-173
3081,358,928,-133
3101,305,979,-109
3122,270,956,-115
3143,260,903,-130
3163,306,769,-120
3184,356,723,-95
3205,389,714,-69
3226,399,716,-57
3247,396,712,-60
3268,377,704,-72
3288,349,710,-88
3309,336,741,-104
3330,333,790,-111
3351,337,839,-115
3372,341,879,-119
3392,340,913,-128
3413,333,932,-141
3434,325,925,-145
3455,321,919,-142
3475,328,929,-142
3496,349,954,-146
3517,368,974,-152
3538,379,988,-153
3559,387,1016,-153
3580,388,1061,-159
3600,389,1124,-174
3621,397,1215,-187
3642,401,1282,-196
3663,393,1293,-193
3684,410,1339,-192
3704,407,1262,-202
3725,369,1138,-195
3745,330,979,-175
3766,310,833,-158
3787,302,807,-159
3807,293,860,-175
3828,277,879,-181
3849,259,845,-174
3869,240,802,-165
3890,233,766,-164
3911,248,743,-172
3932,277,738,-176
3952,304,748,-178
3973,321,756,-179
3994,325,755,-185
4015,324,747,-192
4036,309,736,-200
4057,323,719,-203
4077,317,716,-209
4098,323,745,-217
4119,345,793,-229
4140,358,821,-235
4161,368,843,-238
4181,386,876,-241
4202,408,908,-244
4223,434,930,-253
4244,456,945,-250
4265,467,969,-252
4286,470,999,-264
4306,459,1012,-270
4327,457,1050,-265
4348,490,1132,-254
4369,523,1234,-265
4389,557,1308,-274
4410,575,1325,-280
4431,537,1250,-274
4451,482,1103,-238
4472,407,936,-192
4492,359,819,-154
4513,348,834,-133
4534,352,934,-144
4554,350,971,-156
4575,336,910,-153
4596,338,823,-138
4616,337,770,-111
4637,340,758,-95
4657,329,776,-89
4678,284,768,-97
4699,260,721,-101
4720,241,669,-110
4740,244,645,-117
4761,282,649,-119
4782,316,682,-117
4803,335,747,-119
4824,357,903,-154
4845,351,975,-177
4865,345,1049,-189
4886,328,1095,-192
4907,306,1101,-195
4928,302,1122,-201
4949,304,1151,-204
4970,307,1208,-193
4990,336,1270,-179
5011,363,1278,-185
5032,382,1282,-198
5053,412,1278,-216
5074,413,1154,-225
5094,387,1008,-209
5115,350,899,-195
5135,315,891,-202
5156,284,933,-215
5177,241,937,-227
5197,212,892,-229
5218,210,829,-232
5239,230,784,-236
5259,260,751,-234
5280,296,735,-230
5300,322,700,-219
5321,328,650,-206
5342,324,610,-200
5362,325,597,-205
5383,329,636,-221
5404,321,652,-223
5425,326,678,-221
5446,337,721,-219
5467,351,772,-231
5487,367,814,-251
5508,390,865,-263
5529,409,924,-270
5550,416,972,-269
5571,420,1014,-270
5592,418,1057,-278
5613,399,1083,-279
5633,394,1115,-274
5654,410,1203,-265
5675,456,1341,-263
5696,511,1452,-283
5717,525,1427,-311
5738,494,1275,-321
5758,430,1086,-296
5779,353,927,-255
5800,311,866,-205
5821,298,984,-172
5842,291,1102,-190
5863,321,1057,-218
5883,284,773,-215
5904,292,685,-155
5925,325,654,-108
5945,324,653,-84
5966,303,644,-76
5987,268,633,-85
6008,234,610,-103
6029,208,599,-108
6050,213,618,-111
6071,236,663,-115
6091,272,750,-125
6112,323,855,-153
6133,337,955,-186
6154,364,1024,-208
6175,385,1069,-213
6195,340,1096,-219
6216,349,1124,-223
6237,350,1174,-233
6258,337,1220,-240
6279,358,1321,-240
6300,421,1456,-251
6320,462,1509,-286
6341,432,1442,-307
6362,414,1259,-288
6383,305,883,-209
6404,267,756,-193
6425,284,775,-224
6445,267,823,-281
6466,261,833,-284
6486,272,766,-256
6507,260,695,-236
6528,244,638,-229
6548,239,601,-238
6569,247,599,-253
6590,269,621,-256
6610,275,644,-257
6631,305,648,-249
6652,333,662,-245
6673,357,709,-253
6694,387,773,-264
6714,426,833,-276
6735,414,858,-285
6756,396,915,-292
6777,423,931,-290
6798,433,964,-307
6819,444,1012,-293
6840,446,996,-308
6860,457,1019,-306
6881,449,1039,-312
6902,445,1085,-316
6923,465,1178,-308
6944,499,1281,-315
6965,479,1163,-313
6985,433,1031,-285
7006,394,925,-234
7027,375,882,-203
7048,369,887,-189
7069,359,887,-184
7090,354,876,-172
7110,349,853,-158
7131,330,800,-142
7152,308,733,-121
7173,300,689,-101
7194,298,682,-88
7214,302,712,-83
7235,306,743,-80
7256,302,754,-86
7277,293,757,-101
7298,292,767,-114
7319,306,785,-128
7339,317,827,-138
7360,329,894,-150
7381,342,942,-167
7402,346,969,-182
7423,351,1017,-190
7444,365,1069,-216
7465,371,1084,-225
7485,378,1125,-232
7506,386,1224,-228
7527,396,1375,-223
7548,396,1461,-227
7569,391,1418,-245
7590,384,1252,-272
7611,359,1058,-277
7631,326,879,-235
7652,319,777,-193
7673,347,785,-199
7694,344,807,-221
7715,313,807,-219
7735,298,774,-207
7756,289,745,-211
7776,285,742,-230
7797,300,728,-229
7818,309,694,-215
7839,312,672,-212
7859,316,658,-218
7880,328,652,-222
7901,339,671,-222
7922,341,707,-222
7943,349,726,-226
7964,369,776,-247
7985,405,839,-265
8005,430,905,-275
8026,454,982,-273
8047,474,1049,-268
8068,474,1085,-276
8089,464,1116,-290
8110,469,1163,-291
8131,508,1265,-289
8151,551,1368,-288
8172,558,1393,-291
8193,516,1268,-296
8214,450,1043,-253
8235,387,868,-194
8256,328,823,-161
8276,363,932,-155
8297,374,1013,-187
8318,311,1014,-223
8339,247,957,-237
8359,334,861,-186
8380,370,770,-129
8401,343,722,-102
8421,346,701,-89
8442,354,716,-104
8462,325,740,-130
8483,229,699,-139
8504,311,707,-124
