timestamp,x,y,z
0,-415,179,893
20,-375,175,899
41,-377,152,897
61,-454,150,872
82,-394,145,854
102,-398,174,887
123,-423,169,900
143,-489,170,881
163,-465,170,897
184,-468,172,855
205,-515,192,803
225,-493,195,822
245,-438,202,872
266,-486,189,855
286,-462,166,823
307,-536,233,827
327,-760,152,649
348,-858,60,607
368,-741,68,546
389,-800,128,734
410,-905,104,769
430,-949,95,629
451,-1083,130,495
471,-1103,157,486
492,-788,145,407
512,-632,178,176
533,-680,151,243
553,-593,37,151
574,-612,-40,-60
594,-615,-65,-35
615,-466,-100,-44
635,-358,-133,-68
656,-355,-185,-95
676,-443,-247,-92
697,-599,-326,-44
718,-793,-359,87
738,-863,-443,91
759,-777,-636,67
779,-756,-1021,24
800,-854,-1248,15
820,-876,-997,13
841,-855,-859,12
861,-845,-903,79
882,-748,-1106,131
902,-754,-1390,145
923,-844,-1368,103
943,-822,-1383,153
964,-881,-1565,143
984,-921,-1509,137
1005,-841,-1237,141
1025,-816,-1011,57
1046,-751,-811,-23
1066,-640,-662,-48
1087,-599,-597,-26
1108,-603,-597,33
1128,-604,-710,70
1149,-583,-862,93
1169,-521,-936,114
1190,-470,-972,143
1210,-447,-1032,155
1231,-397,-1129,146
1251,-362,-1094,134
1272,-347,-1056,158
1292,-293,-1011,151
1313,-294,-901,130
1333,-268,-893,130
1354,-240,-890,85
1375,-279,-809,40
1395,-281,-822,45
1416,-264,-849,40
1436,-282,-899,18
1457,-306,-896,10
1477,-276,-911,28
1498,-233,-989,46
1518,-252,-1132,49
1539,-294,-1194,7
1559,-289,-1133,4
1580,-270,-1312,128
1601,-334,-1490,127
1621,-413,-1165,-50
1642,-404,-896,-146
1662,-359,-832,-83
1683,-306,-1006,134
1704,-330,-1130,134
1724,-348,-1123,111
1745,-329,-1056,108
1765,-301,-966,108
1786,-328,-850,83
1807,-365,-793,46
1827,-367,-727,40
1848,-381,-702,63
1869,-395,-678,46
1889,-410,-701,45
1910,-432,-744,41
1930,-452,-788,24
1951,-465,-826,11
1972,-470,-836,13
1992,-474,-847,45
2013,-501,-940,92
2034,-542,-1130,127
2054,-621,-1270,143
2075,-664,-1278,142
2095,-618,-1088,108
2116,-607,-1046,145
2137,-642,-1392,158
2157,-565,-1340,79
2178,-479,-968,-20
2199,-571,-637,-20
2219,-560,-751,67
2240,-518,-1013,100
2261,-525,-1061,119
2281,-481,-1022,170
2302,-427,-1037,221
2323,-352,-986,204
2344,-344,-994,216
2365,-332,-930,183
2386,-286,-883,164
2406,-223,-821,172
2427,-202,-849,176
2448,-204,-836,141
2469,-234,-826,109
2489,-244,-927,115
2510,-256,-932,118
2531,-286,-932,104
2552,-289,-1011,80
2573,-284,-1064,72
2593,-278,-1049,52
2614,-260,-944,6
2635,-204,-1069,82
2656,-261,-1336,85
2677,-318,-1184,-21
2698,-283,-913,-126
2719,-246,-777,-95
2739,-225,-863,-21
2760,-267,-1056,10
2781,-332,-1182,43
2802,-341,-1239,90
2823,-311,-1083,105
2844,-292,-928,97
2865,-317,-812,83
2885,-309,-804,89
2906,-323,-723,72
2927,-397,-681,61
2948,-447,-747,70
2969,-468,-805,75
2990,-508,-858,85
3011,-495,-884,103
3031,-465,-836,104
3052,-552,-832,108
3073,-642,-984,146
3094,-692,-1086,175
3115,-823,-1099,141
3135,-812,-1033,119
3156,-707,-1010,190
3177,-697,-1340,201
3198,-633,-1426,97
3219,-484,-1135,-5
3240,-473,-952,33
3261,-603,-983,66
3281,-576,-1174,81
3302,-504,-1184,90
3323,-454,-990,125
3344,-364,-984,154
3365,-293,-896,162
3386,-316,-819,150
3407,-285,-929,144
3427,-285,-791,131
3448,-221,-824,168
3469,-215,-813,161
3490,-224,-779,140
3511,-238,-791,125
3532,-233,-814,113
3553,-229,-843,127
3574,-226,-920,157
3594,-219,-1036,177
3615,-220,-1116,147
3636,-256,-1118,74
3656,-263,-1167,121
3677,-280,-1428,197
3698,-313,-1317,138
3718,-331,-966,-13
3739,-340,-866,-122
3760,-306,-817,-83
3781,-284,-909,37
3802,-320,-1132,86
3823,-289,-1227,122
3843,-259,-1043,80
3864,-249,-922,33
3885,-229,-835,1
3906,-256,-651,28
3927,-319,-666,33
3948,-319,-756,95
3969,-302,-722,98
3989,-362,-716,75
4010,-469,-781,55
4031,-505,-885,77
4052,-517,-944,99
4073,-520,-973,121
4094,-535,-996,122
4115,-604,-1051,118
4135,-675,-1185,127
4156,-746,-1148,93
4177,-823,-1058,88
4198,-707,-1262,229
4219,-720,-1474,198
4240,-627,-1289,67
4261,-501,-866,-20
4282,-582,-726,6
4302,-589,-1033,83
4323,-551,-1169,130
4344,-501,-1099,149
4365,-428,-1091,159
4386,-338,-1049,157
4407,-295,-986,143
4428,-318,-911,130
4448,-327,-940,156
4469,-255,-933,160
4490,-226,-819,127
4511,-203,-895,151
4532,-234,-886,127
4553,-252,-859,102
4574,-254,-904,90
4595,-239,-897,71
4615,-218,-881,78
4636,-206,-936,108
4657,-211,-992,108
4677,-230,-990,65
4698,-216,-1026,105
4719,-232,-1285,157
4740,-281,-1233,126
4761,-256,-979,71
4782,-273,-931,11
4802,-280,-911,31
4823,-313,-1143,43
4844,-320,-1172,47
4865,-280,-1144,89
4886,-269,-1087,94
4907,-285,-1001,50
4928,-271,-930,25
4948,-353,-733,24
4969,-368,-828,45
4990,-339,-782,75
5011,-367,-742,78
5032,-412,-784,76
5053,-460,-849,77
5074,-470,-924,95
5095,-478,-935,120
5115,-473,-985,155
5136,-467,-988,159
5157,-516,-1025,144
5178,-611,-1118,140
5199,-669,-1137,100
5220,-674,-1061,86
5241,-758,-1217,171
5261,-751,-1442,149
5282,-612,-1245,56
5303,-494,-757,-19
5324,-523,-864,61
5345,-493,-1162,102
5366,-538,-1241,100
5387,-537,-1161,105
5407,-444,-1097,120
5428,-378,-1062,121
5449,-351,-1000,109
5470,-340,-941,101
5491,-288,-1005,146
5512,-228,-907,123
5533,-200,-819,107
5554,-205,-893,130
5574,-242,-834,117
5595,-256,-831,125
5616,-265,-873,142
5637,-275,-888,140
5658,-266,-886,126
5679,-256,-913,140
5699,-251,-1006,150
5720,-270,-1062,119
5741,-278,-1040,92
5761,-235,-1159,177
5782,-255,-1379,180
5803,-220,-969,16
5824,-219,-918,-31
5844,-187,-837,-13
5865,-149,-902,60
5886,-204,-1095,46
5907,-267,-1101,13
5928,-263,-1080,32
5949,-257,-1076,36
5970,-275,-1002,12
5991,-301,-943,0
6011,-299,-929,0
6032,-319,-772,19
6053,-382,-850,17
6074,-371,-963,90
6095,-344,-921,98
6116,-417,-891,90
6136,-509,-936,93
6157,-462,-932,97
6178,-493,-946,91
6199,-526,-947,63
6220,-521,-920,47
6241,-539,-1009,76
6261,-618,-1085,83
6282,-693,-1115,67
6303,-738,-1268,178
6324,-749,-1411,110
6345,-642,-1161,45
6366,-486,-990,45
6387,-476,-864,-7
6408,-546,-818,2
6428,-475,-978,79
6449,-493,-1099,112
6470,-541,-1149,146
6491,-497,-1198,181
6512,-411,-1203,190
6533,-347,-1101,186
6554,-348,-1026,200
6574,-307,-1055,229
6595,-281,-1016,208
6616,-260,-932,191
6637,-225,-929,222
6658,-249,-890,202
6679,-291,-839,184
6700,-288,-876,210
6720,-253,-890,241
6741,-240,-848,224
6762,-277,-841,201
6782,-274,-888,195
6803,-245,-888,172
6824,-238,-875,129
6845,-259,-840,63
6865,-294,-793,17
6886,-283,-957,92
6907,-366,-1280,92
6928,-511,-1062,-42
6949,-531,-838,-106
6970,-510,-828,-47
6991,-641,-764,43
7011,-969,-823,50
7032,-1112,-917,68
7053,-952,-963,121
7074,-813,-918,134
7095,-732,-902,130
7116,-687,-901,134
7136,-679,-905,164
7157,-692,-887,193
7178,-699,-838,207
7198,-683,-796,210
7219,-662,-820,223
7240,-624,-836,233
7260,-600,-864,239
7281,-578,-876,249
7302,-545,-879,265
7322,-517,-936,293
7343,-378,-886,353
7364,-355,-864,348
7385,-330,-839,369
7406,-280,-840,375
7427,-245,-834,366
7448,-234,-818,349
7468,-224,-793,340
7489,-210,-761,328
7510,-197,-702,315
7531,-208,-635,288
7552,-235,-632,266
7573,-252,-666,264
7593,-275,-731,277
7614,-298,-794,293
7635,-314,-958,314
7656,-364,-1111,303
7677,-451,-1114,273
7698,-480,-1077,278
7719,-461,-1082,282
7739,-466,-1011,226
7760,-492,-895,166
7781,-462,-855,142
7802,-425,-833,136
7823,-491,-881,132
7844,-520,-871,107
7864,-544,-820,98
7885,-549,-811,123
7906,-582,-1035,189
7926,-638,-1355,236
7947,-635,-1362,222
7968,-550,-1150,156
7988,-417,-850,166
8009,-463,-905,198
8030,-584,-1389,265
8051,-509,-1617,357
8072,-441,-1427,313
8093,-498,-1239,274
8114,-440,-1097,289
8135,-376,-998,296
8155,-356,-950,301
8176,-329,-924,302
8197,-281,-859,299
8218,-276,-855,291
8239,-249,-818,266
8260,-223,-795,248
8281,-211,-841,231
8302,-252,-896,206
8322,-312,-901,188
8343,-258,-803,196
8364,-235,-769,176
8385,-232,-789,165
8405,-231,-845,145
8426,-263,-944,140
8447,-287,-1044,129
8467,-278,-1079,129
8488,-263,-1228,181
8508,-321,-1379,154
8529,-332,-1183,49
8550,-299,-1006,-84
8570,-302,-939,-209
8591,-272,-884,-239
8612,-200,-859,-157
8633,-160,-923,-109
8654,-170,-1014,-113
8675,-135,-1070,-98
8695,-89,-1053,-86
8716,-121,-992,-92
8737,-182,-940,-75
8758,-194,-889,-40
8778,-281,-764,-14
8799,-315,-916,30
8820,-369,-895,57
8841,-376,-903,84
8862,-428,-916,116
8883,-506,-891,120
8904,-492,-879,109
8925,-524,-878,86
8945,-531,-907,92
8966,-522,-946,112
8987,-506,-1077,158
9007,-594,-1129,164
9028,-582,-1242,172
9049,-598,-1103,157
9070,-732,-1223,211
9091,-598,-1340,223
9112,-555,-1146,132
9133,-558,-1071,109
9153,-528,-920,24
9174,-546,-737,30
9195,-481,-910,109
9216,-493,-1058,126
9237,-517,-1087,134
9258,-460,-1101,169
9278,-410,-1091,184
9299,-398,-1043,180
9320,-377,-1029,190
9341,-327,-986,185
9362,-299,-963,185
9383,-209,-904,181
9404,-216,-879,171
9425,-234,-862,164
9445,-234,-891,166
9466,-222,-891,155
9487,-237,-834,126
9507,-252,-853,114
9528,-244,-949,121
9549,-251,-1040,113
9569,-275,-1095,94
9590,-250,-1197,160
9611,-229,-1421,240
9632,-208,-1299,170
9653,-211,-1038,38
9674,-240,-929,-50
9695,-235,-795,-95
9715,-235,-756,-41
9736,-270,-904,40
9757,-327,-1025,71
9778,-337,-1051,72
9799,-299,-1042,65
9820,-283,-992,52
9841,-285,-908,38
9862,-284,-854,36
9882,-291,-811,52
9903,-345,-729,67
9924,-326,-889,74
9944,-344,-793,64
9965,-376,-823,64
9986,-344,-941,85
10006,-343,-916,63
10027,-370,-924,80
10048,-440,-989,109
10068,-475,-1132,159
10089,-549,-1204,181
10110,-644,-1207,174
10131,-684,-1205,213
10152,-760,-1386,253
10173,-768,-1322,145
10194,-698,-1033,92
10215,-562,-913,107
10235,-456,-784,87
10256,-552,-815,97
10277,-549,-1088,139
10298,-499,-1135,151
10319,-471,-1062,175
10340,-424,-1053,197
10361,-396,-1008,175
10382,-392,-944,144
10403,-314,-897,152
10424,-262,-881,163
10444,-221,-835,149
10465,-199,-875,159
10486,-208,-865,155
10506,-240,-857,152
10527,-264,-917,146
10548,-264,-934,126
10569,-264,-928,123
10590,-278,-980,143
10611,-276,-1063,145
10631,-292,-1149,121
10652,-298,-1223,159
10673,-266,-1405,247
10694,-254,-1379,204
10715,-242,-1032,100
10736,-258,-832,17
10756,-276,-741,-38
10777,-259,-796,7
10798,-246,-1034,81
10819,-252,-1138,92
10840,-252,-1081,49
10861,-221,-1004,25
10882,-194,-905,14
10903,-255,-813,11
10924,-271,-798,19
10944,-337,-730,21
10965,-347,-867,52
10986,-350,-778,52
11007,-357,-873,88
11028,-359,-937,108
11049,-419,-920,87
11069,-472,-964,93
11090,-469,-980,97
11111,-494,-994,93
11131,-523,-1040,113
11152,-566,-1084,123
11173,-655,-1119,110
11194,-681,-1142,125
11215,-685,-1171,185
11236,-698,-1331,171
11257,-589,-1172,101
11277,-454,-971,79
11298,-486,-868,20
11319,-570,-765,33
11340,-518,-959,124
