timestamp,x,y,z
0,-315,-960,-122
20,-303,-966,-128
41,-295,-950,-129
61,-300,-949,-125
82,-304,-950,-124
102,-319,-947,-126
123,-328,-946,-128
143,-331,-942,-129
164,-331,-946,-130
184,-328,-956,-128
205,-324,-955,-126
225,-325,-953,-121
246,-335,-952,-115
266,-341,-947,-113
286,-338,-956,-114
307,-333,-961,-113
327,-323,-955,-115
348,-314,-963,-114
368,-300,-960,-111
389,-297,-963,-103
409,-289,-951,-94
430,-314,-951,-96
450,-333,-899,-109
471,-330,-908,-104
491,-337,-929,-102
512,-347,-906,-114
532,-345,-920,-109
553,-346,-942,-100
574,-343,-944,-97
594,-334,-953,-84
615,-325,-965,-77
635,-330,-962,-84
656,-338,-948,-97
676,-339,-941,-104
697,-332,-932,-107
717,-323,-930,-99
738,-323,-932,-91
758,-323,-938,-87
779,-350,-940,-90
799,-332,-916,-79
820,-329,-895,-75
840,-354,-909,-70
861,-343,-912,-58
881,-359,-944,-48
902,-369,-952,-51
922,-334,-925,-69
943,-372,-968,-61
963,-343,-921,-77
984,-345,-905,-85
1004,-355,-924,-104
1025,-319,-990,-102
1045,-325,-1001,-91
1066,-312,-1016,-83
1086,-300,-979,-96
1107,-286,-861,-124
1127,-293,-743,-143
1148,-269,-762,-114
1168,-270,-870,-93
1189,-318,-959,-93
1209,-330,-1085,-110
1230,-336,-1039,-127
1251,-334,-970,-120
1271,-323,-986,-124
1292,-296,-981,-150
1312,-279,-972,-145
1333,-262,-977,-120
1353,-250,-954,-118
1374,-246,-928,-135
1394,-226,-927,-152
1415,-226,-911,-160
1435,-249,-884,-176
1456,-272,-876,-191
1476,-285,-892,-198
1497,-282,-920,-196
1517,-272,-947,-192
1538,-276,-963,-186
1558,-272,-966,-170
1579,-274,-985,-130
1599,-296,-989,-128
1620,-321,-957,-122
1640,-334,-922,-104
1661,-341,-939,-39
1681,-377,-1097,-7
1702,-437,-1155,-70
1722,-480,-1061,-92
1743,-466,-1104,-86
1763,-369,-1144,-76
1784,-264,-1096,-52
1804,-195,-1063,-36
1825,-187,-1087,-21
1845,-205,-1135,-8
1866,-224,-1128,19
1886,-244,-1058,33
1907,-262,-958,14
1928,-251,-890,-10
1948,-238,-843,-37
1969,-245,-797,-35
1989,-256,-788,8
2010,-282,-813,45
2030,-317,-865,65
2051,-377,-901,84
2071,-444,-876,83
2092,-471,-835,78
2112,-467,-819,79
2133,-436,-847,90
2153,-377,-921,78
2174,-335,-937,61
2194,-320,-911,-4
2215,-309,-906,-114
2235,-288,-923,-149
2256,-275,-944,-131
2276,-282,-966,-105
2297,-309,-943,-83
2317,-304,-955,-14
2338,-255,-1001,80
2358,-238,-1093,142
2379,-275,-1101,113
2400,-310,-994,38
2420,-340,-873,-7
2441,-354,-876,40
2461,-389,-990,104
2482,-427,-1097,97
2502,-419,-1112,60
2523,-385,-1086,43
2543,-336,-1051,47
2564,-281,-998,40
2585,-255,-953,21
2605,-271,-918,-1
2626,-295,-895,-6
2646,-312,-892,-1
2667,-317,-895,1
2687,-313,-901,-2
2708,-307,-902,-19
2728,-304,-877,-37
2749,-310,-820,-61
2769,-311,-781,-64
2790,-342,-811,-62
2810,-397,-875,-91
2831,-446,-928,-107
2851,-483,-996,-100
2872,-476,-1067,-83
2892,-423,-1087,-55
2913,-348,-1050,-41
2933,-277,-1035,10
2954,-270,-1260,62
2974,-359,-1364,-27
2995,-423,-1145,-97
3015,-404,-973,-97
3036,-327,-895,-61
3057,-252,-880,14
3077,-239,-939,65
3098,-265,-1010,80
3118,-319,-1037,53
3139,-375,-1052,-49
3160,-350,-1108,-4
3180,-319,-1109,35
3201,-262,-1041,43
3221,-188,-984,38
3242,-113,-918,21
3262,-75,-877,15
3283,-101,-902,18
3303,-146,-924,14
3324,-187,-922,6
3344,-211,-933,0
3365,-218,-929,6
3385,-212,-916,17
3406,-201,-900,24
3426,-190,-879,23
3447,-185,-893,25
3467,-181,-907,21
3488,-194,-912,12
3508,-217,-957,13
3529,-228,-1040,22
3549,-211,-1012,40
3570,-192,-896,49
3590,-195,-1001,84
3611,-201,-1203,107
3631,-216,-1145,114
3652,-247,-1028,87
3672,-279,-940,37
3693,-310,-865,-31
3713,-349,-873,-67
3734,-366,-977,-45
3754,-366,-1101,18
3775,-375,-1155,46
3795,-374,-1148,19
3815,-375,-1092,-25
3836,-382,-1041,-59
3856,-383,-1009,-75
3877,-357,-980,-74
3897,-303,-955,-55
3918,-247,-960,-17
3938,-219,-1008,-10
3959,-247,-996,-35
3980,-279,-953,-58
4000,-299,-888,-72
4021,-310,-821,-72
4041,-333,-812,-62
4062,-369,-855,-70
4083,-400,-905,-90
4103,-421,-940,-82
4124,-408,-983,-54
4144,-392,-1043,-51
4165,-407,-1039,-82
4186,-385,-1009,-95
4206,-358,-1114,-24
4227,-347,-1356,1
4247,-347,-1334,-50
4268,-356,-1181,-78
4289,-320,-1069,-66
4310,-263,-952,-37
4330,-250,-944,-22
4351,-245,-1060,-27
4371,-247,-1151,-49
4392,-295,-1153,-79
4413,-326,-1082,-101
4433,-333,-1019,-113
4454,-335,-1015,-121
4474,-300,-1042,-126
4495,-248,-1042,-103
4515,-171,-1008,-40
4536,-92,-965,8
4557,-74,-944,23
4577,-122,-914,26
4598,-164,-869,52
4618,-181,-863,83
4639,-252,-787,51
4659,-269,-750,31
4680,-269,-761,27
4701,-250,-785,40
4722,-219,-813,43
4743,-200,-822,30
4763,-220,-851,7
4784,-239,-922,-47
4805,-243,-962,-86
4826,-249,-1061,-35
4846,-259,-1162,29
4867,-277,-1075,31
4888,-311,-1009,-1
4909,-363,-989,-46
4930,-407,-900,-133
4950,-430,-858,-191
4971,-425,-942,-183
4991,-389,-1067,-135
5012,-354,-1113,-119
5033,-344,-1089,-145
5053,-333,-1050,-173
5074,-329,-1053,-185
5095,-340,-1085,-186
5116,-351,-1094,-202
5136,-369,-1052,-220
5157,-373,-978,-216
5177,-337,-935,-187
5198,-319,-906,-155
5219,-380,-830,-154
5239,-399,-808,-177
5260,-413,-798,-190
5281,-431,-798,-186
5301,-438,-852,-173
5322,-438,-942,-158
5343,-438,-999,-142
5364,-439,-1039,-136
5385,-416,-1061,-139
5406,-372,-1062,-150
5427,-328,-1041,-145
5447,-303,-1087,-81
5468,-318,-1295,-83
5489,-342,-1256,-141
5510,-354,-1104,-144
5531,-338,-1053,-113
5552,-308,-981,-98
5573,-288,-949,-81
5593,-282,-1009,-35
5614,-280,-1079,16
5635,-286,-1084,36
5655,-307,-1057,21
5676,-332,-1032,-5
5697,-345,-1021,-21
5718,-338,-1001,-26
5739,-278,-895,-19
5759,-245,-829,-13
5780,-208,-796,-2
5800,-176,-786,14
5821,-164,-786,22
5842,-170,-799,5
5862,-171,-798,4
5883,-168,-811,12
5904,-178,-796,-17
5924,-187,-766,-32
5945,-194,-786,-24
5966,-194,-846,-11
5987,-202,-916,-11
6008,-224,-959,-24
6029,-237,-951,-56
6050,-260,-956,-43
6070,-290,-1170,49
6091,-328,-1323,49
6112,-355,-1218,7
6132,-342,-1161,-31
6153,-301,-1105,-52
6174,-265,-1020,-55
6194,-250,-985,-33
6215,-279,-1035,-10
6236,-320,-1115,-9
6256,-320,-1171,-18
6277,-287,-1180,-17
6298,-270,-1129,-22
6318,-287,-1066,-33
6339,-289,-907,-85
6360,-283,-851,-107
6380,-269,-830,-105
6401,-265,-822,-84
6421,-276,-826,-63
6442,-286,-828,-51
6463,-306,-848,-74
6483,-310,-851,-94
6504,-311,-831,-83
6525,-328,-869,-73
6545,-357,-934,-73
6566,-410,-1004,-88
6587,-445,-1069,-89
6608,-451,-1118,-72
6629,-441,-1123,-60
6650,-393,-1082,-10
6671,-340,-1278,68
6692,-356,-1470,4
6712,-390,-1251,-62
