timestamp,x,y,z
0,-211,-949,-92
20,-257,-952,-123
41,-312,-932,-149
61,-312,-976,-120
82,-296,-980,-105
102,-272,-941,-119
123,-261,-909,-124
143,-252,-861,-120
164,-223,-817,-114
184,-190,-822,-102
204,-176,-846,-94
225,-184,-854,-83
245,-197,-861,-49
266,-166,-911,-16
286,-163,-971,10
307,-167,-969,25
327,-155,-900,-8
348,-109,-859,-62
368,-17,-897,-65
389,30,-912,-51
409,28,-888,-43
430,32,-974,8
450,43,-1300,73
471,-81,-1434,78
491,-284,-1280,11
512,-294,-949,-53
533,-233,-1038,-13
553,-186,-1146,-26
574,-180,-1199,-56
594,-186,-1199,-80
615,-166,-1133,-72
635,-132,-1056,-54
656,-151,-994,-50
676,-152,-933,-66
697,-189,-947,-95
717,-268,-968,-118
738,-264,-974,-97
758,-243,-952,-54
779,-257,-916,-46
799,-310,-892,-83
820,-371,-844,-107
841,-415,-818,-102
861,-430,-823,-90
882,-427,-830,-83
902,-437,-851,-77
923,-423,-876,-73
943,-416,-903,-86
964,-417,-959,-120
984,-416,-1050,-125
1005,-382,-1203,-62
1025,-420,-1411,-145
1046,-476,-1435,-204
1066,-442,-1301,-124
1087,-299,-1076,-33
1107,-145,-912,-11
1128,-66,-857,-70
1148,-139,-865,-75
1169,-274,-930,-105
1190,-376,-968,-117
1210,-449,-958,-118
1231,-460,-927,-125
1251,-432,-887,-128
1272,-420,-854,-105
1292,-351,-792,-59
1313,-300,-776,-41
1333,-299,-765,-49
1354,-343,-776,-71
1374,-370,-810,-61
1395,-356,-837,-35
1415,-334,-873,-7
1436,-309,-925,20
1456,-280,-942,37
1477,-253,-910,45
1497,-254,-906,79
1518,-290,-958,155
1539,-324,-962,178
1559,-296,-916,121
1580,-182,-958,20
1600,-5,-1134,-19
1621,-11,-1413,48
1641,-185,-1369,90
1662,-286,-1131,26
1683,-310,-968,-37
1703,-287,-924,-82
1724,-240,-996,-132
1745,-218,-1104,-127
1765,-171,-1171,-122
1786,-168,-1139,-113
