timestamp,x,y,z
0,711,671,-222
20,710,670,-222
41,717,673,-222
61,717,669,-222
82,718,673,-220
102,715,674,-219
123,720,677,-218
143,727,682,-232
163,736,677,-241
184,747,669,-232
204,739,658,-222
225,728,648,-214
245,720,638,-201
266,723,640,-186
286,748,639,-181
307,786,658,-171
327,791,666,-161
348,788,655,-153
368,761,666,-174
389,739,680,-206
409,729,670,-204
430,704,671,-198
450,690,661,-180
471,697,649,-158
491,705,645,-151
512,720,645,-133
532,776,640,-99
553,835,677,-86
573,856,721,-123
594,849,715,-126
615,802,715,-101
635,682,710,-103
656,548,695,-133
676,460,715,-176
697,493,788,-220
717,614,891,-300
738,768,957,-348
758,918,878,-344
779,928,779,-287
799,730,699,-209
820,644,615,-240
840,608,586,-300
861,653,600,-316
881,635,590,-312
902,571,568,-300
923,566,565,-292
943,541,585,-293
964,539,597,-309
984,583,614,-311
1005,626,619,-290
1025,638,613,-275
1046,685,647,-307
1066,696,639,-354
1087,736,627,-376
1107,783,633,-368
1128,816,616,-316
1148,810,598,-270
1169,786,628,-284
1189,830,767,-341
1210,979,925,-333
1230,1011,979,-245
1251,888,922,-309
1271,771,909,-260
1292,499,677,-92
1313,421,593,-102
1333,404,498,-114
1354,450,467,-96
1374,568,544,-142
1395,728,654,-211
1415,880,766,-190
1436,964,837,-88
1456,892,873,-41
1477,706,842,-50
1497,563,750,-64
1518,485,656,-99
1538,482,628,-171
1559,494,618,-251
1579,544,611,-251
1600,634,617,-203
1620,699,664,-175
1641,737,694,-169
1661,756,714,-169
1682,756,734,-170
1703,753,731,-161
1723,750,723,-135
1744,736,706,-115
1764,712,696,-103
1785,697,725,-114
1805,702,771,-147
1826,734,812,-188
1846,767,817,-217
1867,823,856,-189
1888,936,961,-127
1908,1032,979,-52
1929,1058,897,-6
1949,975,811,-50
1970,759,721,-111
1991,541,663,-137
2011,367,666,-120
2032,250,768,-134
2053,252,1040,-143
2073,352,1052,-106
2094,445,996,-77
2114,608,908,-96
2135,721,807,-191
2155,734,695,-287
2176,744,594,-307
2196,729,526,-262
2217,658,498,-208
2237,607,490,-195
2258,555,500,-210
2279,501,528,-253
2299,504,581,-287
2320,578,619,-290
2340,655,631,-258
2361,698,668,-266
2382,702,733,-386
2402,702,729,-481
2423,734,716,-469
2444,754,713,-406
2464,783,699,-317
2485,841,682,-262
2505,786,680,-423
2526,725,657,-538
2547,799,708,-501
2567,928,791,-298
2588,915,894,-171
2608,828,901,-115
2629,749,886,-26
2650,614,755,50
2670,491,591,59
2691,438,623,-26
2712,579,663,-132
2733,680,703,-79
2754,743,737,-49
2774,746,707,-22
2795,687,689,-41
2816,659,678,-106
2836,645,648,-144
2857,626,645,-149
2877,631,669,-181
2898,671,674,-205
2919,730,672,-192
2939,761,663,-167
2960,771,657,-145
2981,753,665,-140
3001,701,688,-161
3022,681,712,-189
3043,700,717,-201
3064,736,717,-191
3085,774,714,-189
3105,808,692,-166
3126,852,667,-142
3147,856,642,-182
3168,826,603,-209
3189,806,607,-184
3210,823,681,-184
3230,952,836,-166
3251,1083,944,-91
3272,926,884,-29
3293,615,728,2
3314,408,701,-20
3335,229,721,-146
3356,103,840,-291
3376,38,1041,-405
3397,301,1076,-266
3418,590,1069,-190
3439,750,932,-205
3460,819,754,-186
3481,835,640,-172
3501,828,524,-190
3522,791,457,-210
3543,709,429,-209
3564,605,420,-200
3585,525,436,-209
3606,481,467,-227
3626,464,520,-239
3647,482,574,-257
3668,540,619,-284
3689,631,659,-295
3709,702,710,-332
3730,754,734,-439
3751,781,711,-479
3772,794,698,-381
3793,897,735,-199
3813,946,747,-326
3834,903,737,-490
3855,1093,795,-474
3876,1276,844,-228
3897,1138,822,-136
3918,756,812,-53
3939,474,813,-17
3959,365,588,56
3980,296,568,-6
4001,270,741,-144
4021,417,776,-188
4042,596,790,-164
4063,695,803,-135
4083,720,798,-107
4104,762,755,-78
4125,768,695,-86
4145,706,630,-124
4166,637,592,-172
4187,624,556,-208
4207,697,540,-226
4228,758,546,-238
4249,781,566,-241
4269,797,585,-221
4290,777,603,-198
4310,723,639,-208
4331,687,662,-232
4352,725,711,-224
4373,785,729,-216
4394,842,728,-209
4415,871,716,-190
4436,863,701,-202
4456,813,674,-211
4477,868,787,-274
4498,1010,936,-216
4519,1059,986,-34
4540,904,979,-48
4561,629,837,-49
4582,445,759,10
4603,230,797,-173
4623,123,886,-361
4644,143,1077,-392
4665,501,1097,-201
4686,742,1020,-141
4707,761,842,-155
4728,726,680,-160
4749,704,543,-172
4769,721,428,-207
4790,699,348,-241
4811,635,323,-260
4832,552,387,-284
4853,542,450,-313
4874,597,506,-329
4895,645,541,-354
4916,677,581,-396
4936,701,627,-437
4957,740,639,-453
4978,781,638,-480
4999,811,643,-523
5020,827,620,-481
5041,828,616,-369
5062,853,602,-285
5082,895,584,-290
5103,819,655,-480
5124,909,819,-599
5145,1184,958,-427
5166,1144,1005,-246
5187,856,897,-79
5208,534,775,5
5229,325,648,22
5249,268,573,-13
5270,298,630,-125
5291,471,715,-180
5312,863,793,-104
5333,856,822,-82
5353,746,805,-111
5374,682,730,-107
5395,626,670,-117
5415,564,619,-164
5436,552,583,-205
5457,594,574,-234
5477,658,587,-254
5498,717,606,-270
5518,786,621,-268
5539,832,629,-251
5560,836,622,-246
5580,774,636,-266
5601,717,656,-293
5622,716,653,-293
5643,739,651,-282
5664,770,658,-271
5685,792,653,-253
5706,799,664,-229
5727,764,697,-259
5747,701,719,-297
5768,700,792,-258
5789,846,1007,-334
5810,1064,1009,-144
5831,1099,993,19
5852,895,966,-67
5873,321,747,-103
5894,187,693,-185
5914,129,794,-312
5935,289,909,-345
5956,630,864,-241
5977,750,819,-197
5998,749,744,-188
6019,740,624,-189
6040,711,576,-211
6060,693,561,-265
6081,663,545,-312
6102,614,542,-311
6123,570,530,-281
6144,517,510,-281
6165,503,523,-296
6186,515,545,-313
6207,537,545,-335
6228,562,608,-395
6248,628,643,-448
6269,733,651,-402
6290,807,686,-349
6311,865,719,-300
6332,934,764,-296
6353,916,939,-669
6373,1035,994,-628
6394,1069,948,-350
6415,877,846,-157
6436,648,727,-48
6457,487,630,0
6478,431,481,34
6499,393,421,37
6519,403,528,-23
6540,513,660,-116
6561,655,757,-145
6582,773,857,-128
6603,903,887,-88
6624,894,801,-91
6645,720,697,-125
6665,578,625,-159
6686,496,559,-226
6707,508,530,-266
6727,614,550,-248
6748,707,583,-233
6769,758,603,-229
6789,785,623,-219
6810,767,645,-218
6831,728,659,-215
6851,703,672,-215
6872,740,705,-207
6893,801,722,-205
6914,849,714,-195
6935,880,717,-171
6955,863,720,-176
6976,799,730,-222
6997,738,792,-255
7018,858,968,-284
7039,1041,1004,-123
7060,1107,1004,-14
7081,925,897,17
7101,643,722,74
7122,376,640,-88
7143,145,622,-283
7164,-29,793,-456
7185,150,916,-413
7206,516,939,-253
7227,727,940,-191
7248,839,818,-147
7268,822,664,-128
7289,775,579,-168
7310,728,538,-235
7331,680,515,-276
7351,608,504,-267
7372,517,515,-248
7393,497,522,-258
7414,489,532,-254
7435,514,542,-259
7455,567,556,-273
7476,642,621,-336
7497,754,700,-471
7518,883,709,-533
7539,974,727,-407
7560,993,735,-200
7581,980,754,-253
7601,939,748,-529
7622,961,751,-654
7643,1155,771,-429
7664,1185,810,-157
7685,940,770,-47
7706,663,779,0
7727,477,723,-2
7747,386,562,42
7768,366,586,12
7789,369,675,-63
7810,471,704,-102
7831,594,750,-104
7852,655,796,-95
7873,698,752,-51
7894,688,690,-82
7914,666,638,-141
7935,660,609,-186
7956,701,605,-221
7977,755,606,-240
7998,777,613,-224
8019,757,622,-202
8039,708,644,-193
8060,674,654,-184
8081,663,656,-185
8101,674,650,-186
8122,707,649,-190
8143,757,652,-193
8164,832,661,-179
8185,911,670,-160
8206,951,664,-140
8227,946,693,-167
8248,872,731,-211
8268,823,852,-238
8289,929,1017,-171
8310,1010,1054,-5
8331,945,1060,26
8352,508,833,-38
8373,297,773,-94
8394,188,739,-152
8415,125,847,-229
8435,129,992,-256
8456,370,1012,-175
8477,595,893,-135
8498,739,764,-128
8519,782,653,-151
8540,771,557,-208
8561,760,490,-268
8581,715,454,-274
8602,653,449,-249
8623,606,443,-230
8644,569,454,-245
8665,541,492,-269
8686,540,510,-290
