timestamp,x,y,z
0,399,938,-191
20,279,908,-173
41,225,898,-187
61,176,900,-203
82,64,904,-238
102,-6,921,-267
123,28,946,-277
143,64,979,-271
164,65,1001,-228
184,135,990,-190
204,169,962,-179
225,131,933,-185
245,136,944,-203
266,210,961,-217
286,255,959,-232
307,279,951,-238
327,268,948,-229
348,250,954,-232
368,230,928,-203
389,188,931,-216
410,165,950,-238
430,183,970,-267
451,158,986,-302
471,167,991,-305
492,194,957,-307
512,369,981,-289
533,425,1079,-209
553,291,1185,-39
574,337,1290,162
594,258,1460,133
615,64,1366,44
636,155,930,19
656,236,625,41
677,68,575,-13
697,-309,683,-184
718,-347,878,-166
738,32,1020,-22
759,279,1142,46
779,328,1079,64
800,302,851,53
820,233,774,19
841,216,831,20
861,289,891,53
882,285,965,-11
903,33,1079,-140
923,-340,1104,-230
944,-663,1001,-277
964,-441,915,-142
985,-64,985,-43
1005,85,1126,-60
1026,197,1190,-121
1046,393,1167,-125
1067,589,1231,-143
1087,492,1429,-127
1108,197,1323,-10
1129,109,935,23
1149,69,699,40
1170,-83,857,29
1190,-316,1113,3
1211,-213,1094,-53
1231,-58,1101,-168
1252,6,1028,-208
1272,83,821,-136
1293,208,716,-55
1313,223,737,-64
1334,169,804,-125
1354,182,833,-156
1375,212,831,-172
1395,199,834,-173
1416,160,858,-157
1437,187,792,-99
1457,232,695,-108
1478,137,816,-237
1498,164,1105,-349
1519,480,1314,-253
1539,555,1187,42
1560,309,996,86
1580,505,1408,-96
1601,616,1954,-92
1621,365,1267,-5
1642,250,875,-161
1663,279,1059,-184
1683,336,833,99
1704,52,539,283
1724,-48,694,189
1745,-65,981,26
1766,-337,1018,-23
1786,-215,899,-88
1807,-151,830,-236
1827,-215,939,-278
1848,11,938,-158
1869,370,728,124
1889,326,834,132
1910,187,902,44
1931,111,991,-82
1951,43,1059,-192
1972,6,1019,-172
1992,99,934,-85
2013,168,1009,-30
2034,371,1147,45
2054,556,1200,19
2075,565,1217,-69
2096,516,1284,-180
2116,407,1421,-190
2137,226,1198,-125
2157,138,1029,-175
2178,64,973,-151
2199,-91,883,-46
2219,-209,1050,60
2240,-75,1191,141
2261,64,1094,133
2281,140,1035,31
2302,66,936,-150
2323,-41,802,-277
2343,99,773,-370
2364,409,776,-347
2385,456,671,-136
2406,295,566,-20
2426,309,607,-13
2447,337,722,-9
2468,414,773,-25
2489,462,870,-264
2510,390,1200,-272
2530,421,1302,-118
2551,453,1194,20
2572,405,1504,-100
2593,208,1888,-31
2614,200,1425,-107
2634,40,664,31
2655,161,626,-5
2676,498,814,-16
2697,436,594,184
2718,41,663,172
2739,-173,1187,7
2760,-127,1227,40
2780,135,953,31
2801,224,824,-110
2822,82,799,-149
2843,140,838,-29
2864,372,823,103
2885,413,840,161
2906,240,842,158
2926,123,873,72
2947,20,1007,-59
2968,-100,1017,-102
2989,108,968,5
3010,241,1108,34
3031,316,1108,80
3051,314,1123,62
3072,346,1078,81
3093,477,1223,37
3113,545,1422,37
3134,424,1041,53
3155,399,850,-10
3176,332,1053,-33
3197,4,1103,4
3218,-284,1150,45
3239,-355,1097,73
3260,-139,1040,21
3280,123,1100,-58
3301,110,1016,-129
3322,100,830,-192
3343,241,703,-180
3364,338,666,-108
3385,343,695,-45
3406,293,754,-11
3427,294,827,9
3447,328,853,23
3468,303,765,-74
3489,158,914,-187
3510,229,1101,-113
3531,511,1113,132
3552,458,1050,216
3573,185,1056,4
3594,311,1438,-123
3615,591,1855,154
3635,867,1187,91
3656,377,670,-184
3677,-257,927,-125
3698,-49,1018,148
3719,-199,826,161
3740,-517,1027,-11
3761,-415,1226,-43
3781,-140,992,107
3802,325,885,107
3823,453,881,69
3844,391,838,132
3865,381,740,166
3886,326,750,166
3907,230,875,134
3928,153,955,83
3948,102,1006,-31
3969,103,999,-44
3990,95,1006,31
4011,141,980,134
4032,209,1028,192
4053,232,1078,200
4074,272,1069,168
4095,368,987,117
4115,530,922,100
4136,582,1182,-52
4157,441,1383,-130
4178,203,1211,-63
4199,81,1111,42
4220,-69,965,79
4241,-217,975,27
4261,-340,1118,8
4282,-294,1089,-69
4303,-185,1075,-132
4324,44,923,-54
4345,316,711,46
4366,406,625,65
4387,465,691,32
4408,521,784,0
4428,606,821,9
4449,532,779,33
4470,423,753,-3
4491,244,810,-129
4512,170,931,-167
4533,281,1089,-82
4554,538,1166,47
4575,583,1169,25
4595,423,1243,-306
4616,595,1914,-146
4637,584,1873,131
4658,34,854,158
4679,-237,426,53
4700,-386,682,-6
4721,-242,975,69
4741,-200,1040,129
4762,-129,1101,88
4783,-261,1088,62
4804,-227,1000,85
4825,-18,856,66
4846,-18,898,85
4867,32,982,137
4887,116,890,183
4908,437,891,221
4929,552,1005,122
4950,511,1020,20
4971,482,1000,-71
4992,459,970,-115
5013,338,944,-68
5034,340,1024,1
5055,399,1099,57
5075,381,1112,76
5096,322,1034,50
5117,293,966,22
5138,325,936,11
5158,313,1114,-68
5179,200,1432,-108
5199,13,1283,-69
5220,98,1063,-14
5241,51,891,41
5262,-51,830,37
5283,-173,995,107
5304,-187,981,154
5325,51,944,111
5346,127,1011,39
5366,0,987,-70
5387,65,928,-154
5408,529,794,-101
5429,495,720,47
5450,448,671,119
5471,457,701,130
5492,466,754,97
5513,473,775,2
5534,374,835,-152
5555,295,1041,-193
5575,518,1148,32
5596,597,1028,175
5617,382,1134,45
5638,220,1684,-106
5659,290,1935,23
5680,238,1172,-66
5701,-123,672,-7
5722,-109,785,42
5742,238,878,102
5763,56,830,202
5784,-161,947,189
