timestamp,x,y,z
0,-758,-173,-627
20,-775,-145,-617
41,-789,-128,-611
61,-805,-124,-605
82,-821,-140,-635
102,-819,-158,-656
122,-827,-169,-666
143,-836,-186,-667
163,-836,-185,-668
184,-837,-174,-670
204,-829,-171,-666
225,-811,-157,-659
245,-782,-142,-638
266,-751,-118,-607
286,-734,-96,-571
307,-731,-79,-540
327,-733,-60,-516
348,-739,-46,-501
368,-746,-61,-488
389,-716,-84,-463
409,-655,-111,-435
430,-586,-118,-415
450,-546,-74,-430
471,-593,-27,-459
491,-736,-37,-502
512,-873,-56,-553
532,-900,-34,-583
553,-849,-54,-575
573,-827,-106,-556
594,-846,-107,-565
614,-885,-69,-630
635,-937,-59,-746
655,-985,-70,-824
676,-961,-31,-814
696,-888,85,-756
717,-915,211,-720
737,-1068,249,-694
758,-1144,252,-645
779,-1083,253,-583
799,-1037,211,-560
820,-1069,115,-577
840,-1096,27,-580
861,-1019,-3,-571
881,-891,-33,-566
902,-789,1,-592
922,-849,7,-554
943,-1019,19,-533
963,-1123,8,-485
984,-1006,-35,-409
1004,-735,55,-417
1025,-560,243,-566
1045,-584,299,-734
1066,-750,122,-758
1086,-783,-88,-631
1107,-547,-99,-529
1128,-317,21,-545
1148,-326,28,-564
1169,-486,-133,-514
1189,-623,-415,-412
1210,-571,-613,-288
1230,-379,-659,-211
1251,-231,-684,-185
1271,-216,-785,-228
1292,-548,-1012,-411
1312,-995,-1081,-575
1333,-892,-823,-549
1353,-349,-475,-445
1374,-85,-213,-331
1394,-766,-227,-394
1415,-2200,-373,-739
1436,-2980,-403,-971
1456,-2025,-198,-824
1477,-1022,-36,-736
1497,-1293,-7,-808
1518,-2072,-22,-800
1538,-2267,-31,-764
1559,-1706,42,-689
1580,-1016,77,-644
1600,-488,73,-628
1621,-293,26,-605
1641,-519,-141,-616
1662,-200,-213,-374
1683,-185,-126,-349
1703,-444,256,-581
1724,-804,398,-769
1744,-1241,48,-748
1765,-1011,-116,-583
1786,-640,-45,-550
1806,-537,65,-629
1827,-410,250,-639
1847,-297,243,-568
1868,-285,108,-458
1889,-203,51,-352
1909,-43,-25,-263
1930,27,-196,-144
1950,-76,-474,-41
1971,-224,-725,-15
1991,-317,-804,-82
2012,-438,-796,-123
2033,-829,-879,-212
2053,-1239,-840,-338
2074,-1634,-682,-414
2095,-2267,-724,-546
2115,-2520,-827,-745
2136,-1927,-589,-719
2156,-1418,-195,-606
2177,-1558,17,-598
2198,-1923,21,-606
2218,-1810,21,-547
2239,-1310,53,-460
2260,-910,116,-384
2280,-701,178,-295
2301,-626,169,-229
2322,-670,19,-303
2343,-624,-41,-391
2363,-497,-73,-420
2384,-469,-217,-392
2405,-739,-235,-442
2426,-1255,-146,-583
2447,-1654,-206,-663
2468,-1603,-422,-615
2488,-1293,-392,-562
2509,-997,-259,-537
2530,-924,-79,-517
2551,-1055,23,-493
2572,-1117,-41,-446
2593,-959,-135,-354
2613,-744,-105,-269
2634,-626,-93,-213
2655,-518,-169,-183
2676,-302,-185,-153
2697,-210,-264,-120
2718,-264,-355,-158
2739,-258,-350,-197
2759,-157,-278,-152
