timestamp,x,y,z
0,-207,-996,18
20,-232,-1007,25
41,-266,-1000,3
61,-280,-968,-15
81,-276,-932,-19
102,-268,-924,-6
122,-248,-951,9
143,-258,-971,7
163,-270,-1009,5
184,-268,-985,6
204,-285,-952,15
224,-304,-950,33
245,-314,-992,21
265,-307,-1009,-6
286,-287,-994,-2
306,-250,-978,24
327,-213,-969,40
347,-216,-970,31
367,-228,-987,7
388,-210,-1001,14
408,-207,-1000,38
429,-197,-1012,41
449,-191,-978,38
470,-218,-959,29
490,-239,-945,25
511,-244,-952,37
531,-239,-960,40
552,-235,-958,28
572,-212,-946,36
593,-167,-963,67
613,-167,-970,69
634,-219,-952,52
654,-246,-934,54
675,-244,-934,74
695,-247,-981,100
716,-266,-1104,127
736,-280,-1184,124
757,-251,-1079,117
777,-220,-941,116
798,-196,-916,104
818,-231,-931,68
839,-315,-979,29
859,-335,-1005,31
880,-277,-981,66
900,-236,-948,71
921,-223,-938,50
941,-225,-957,40
961,-224,-969,41
982,-206,-967,46
1002,-198,-961,42
1023,-196,-943,34
1043,-191,-929,29
1064,-188,-936,32
1084,-189,-968,31
1105,-199,-1009,18
1125,-209,-1053,15
1146,-211,-1083,7
1166,-207,-1037,-15
1187,-207,-968,-17
1207,-207,-949,-5
1228,-212,-935,-3
1248,-246,-939,-6
1269,-265,-975,5
1289,-278,-980,22
1310,-295,-968,13
1330,-314,-955,4
1351,-323,-951,5
1371,-321,-950,10
1392,-324,-960,5
1412,-316,-976,1
1433,-303,-969,6
1453,-301,-962,19
1473,-299,-961,28
1494,-294,-951,25
1514,-299,-949,24
1535,-304,-952,23
1555,-300,-940,27
1576,-294,-929,34
1596,-296,-948,55
1617,-310,-1075,84
1637,-333,-1209,39
1658,-343,-1151,12
1678,-312,-1073,64
1699,-259,-1039,102
1719,-219,-995,103
1740,-231,-1001,70
1760,-251,-984,44
1781,-269,-944,46
1801,-264,-905,47
1822,-255,-864,45
1842,-260,-876,41
1863,-255,-944,42
1883,-246,-1011,49
1904,-250,-1060,54
1924,-242,-1091,67
1945,-243,-1069,70
1965,-245,-1029,52
1985,-228,-961,42
2006,-213,-895,43
2026,-208,-865,41
2047,-215,-895,37
2067,-226,-945,22
2088,-221,-961,24
2108,-213,-964,36
2129,-214,-960,41
2149,-235,-952,41
2170,-249,-949,34
2190,-246,-941,41
2211,-229,-945,59
2231,-217,-944,64
2252,-236,-932,79
2272,-281,-920,100
2293,-322,-906,100
2313,-367,-899,88
2334,-403,-917,76
2354,-414,-927,71
2375,-412,-940,81
2395,-402,-996,103
2416,-396,-1060,127
2436,-398,-1144,136
2457,-376,-1104,115
2477,-338,-993,101
2498,-319,-947,83
2518,-326,-934,68
2538,-352,-960,49
2559,-360,-986,38
2579,-332,-966,38
2600,-295,-937,41
2620,-253,-916,32
2641,-239,-907,21
2661,-263,-932,29
2682,-289,-994,43
2702,-291,-1074,35
2723,-271,-1125,10
2743,-241,-1120,-8
2764,-208,-1020,-4
2784,-181,-950,7
2805,-170,-919,-7
2825,-175,-914,-22
2846,-175,-925,-18
2866,-173,-931,-13
2887,-189,-935,-20
2907,-210,-944,-29
2928,-220,-950,-33
2948,-242,-929,-32
2969,-277,-933,-33
2989,-282,-959,-24
3010,-286,-967,-15
3030,-280,-957,-3
3051,-283,-943,9
3071,-296,-948,10
3092,-317,-949,5
3112,-333,-975,11
3133,-337,-990,21
3153,-331,-981,26
3174,-320,-950,24
3194,-318,-920,32
3215,-335,-996,54
3235,-364,-1106,38
3256,-381,-1125,34
3276,-375,-1145,63
3297,-330,-1090,68
3317,-280,-1000,87
3338,-251,-967,95
3358,-259,-953,80
3379,-286,-952,64
3399,-294,-944,55
3420,-299,-909,49
3440,-313,-905,47
3461,-307,-966,53
3481,-293,-1046,54
3501,-278,-1093,64
3522,-252,-1080,76
3542,-226,-1041,80
3563,-201,-1035,87
3583,-189,-1027,83
3604,-205,-1025,62
3624,-206,-978,54
3645,-198,-916,59
3665,-198,-904,55
3686,-201,-895,43
3706,-210,-928,45
3727,-216,-990,50
3747,-197,-964,58
3768,-204,-918,64
3788,-206,-906,65
3809,-210,-886,60
3829,-268,-893,44
3850,-280,-901,50
3870,-289,-911,61
3890,-296,-918,57
3911,-305,-923,46
3931,-303,-938,42
3952,-301,-958,39
3972,-311,-969,36
3993,-307,-963,39
4013,-291,-950,58
4034,-312,-1059,130
4054,-340,-1312,156
4075,-347,-1245,104
4095,-363,-1037,93
4116,-359,-965,105
4136,-361,-947,82
4157,-402,-967,24
4177,-464,-977,-27
4198,-490,-958,-18
4218,-439,-923,13
4238,-373,-893,4
4259,-335,-886,-28
4279,-336,-900,-48
4300,-354,-905,-47
4320,-350,-929,-11
4341,-338,-989,28
4361,-358,-1054,16
4382,-371,-1079,6
4402,-349,-1083,12
4423,-311,-1041,0
4443,-294,-941,-36
4464,-292,-860,-57
4484,-281,-842,-31
4505,-276,-887,8
4525,-278,-925,37
4546,-280,-953,43
4566,-288,-982,29
4587,-295,-963,14
4607,-291,-926,16
4628,-293,-913,16
4648,-305,-910,7
4669,-310,-908,-3
4689,-283,-928,3
4710,-265,-924,14
4730,-255,-917,23
4751,-250,-920,21
4771,-260,-914,13
4792,-280,-907,3
4812,-290,-907,0
4833,-283,-917,19
4853,-295,-1042,62
4874,-321,-1183,41
4894,-342,-1170,11
4915,-347,-1160,17
4935,-310,-1065,41
4955,-255,-985,75
4976,-242,-988,59
4996,-250,-996,9
5017,-259,-964,-4
5037,-251,-903,21
5058,-254,-901,45
5078,-249,-955,49
5099,-222,-987,53
5119,-213,-1014,59
5140,-226,-1037,60
5160,-226,-1019,58
5181,-218,-986,67
5202,-223,-972,62
5222,-240,-948,41
5243,-251,-929,35
5263,-251,-955,40
5284,-235,-1001,43
5305,-223,-973,53
5325,-207,-957,71
5346,-211,-988,81
5366,-234,-984,69
5387,-262,-962,50
5407,-286,-950,42
5428,-283,-933,46
5448,-272,-933,53
5469,-268,-938,51
5489,-269,-936,47
5510,-261,-958,57
5530,-264,-985,61
5551,-273,-965,57
5571,-286,-934,56
5592,-293,-935,53
5612,-277,-944,48
5633,-248,-959,66
5653,-239,-1004,104
5674,-265,-1100,124
5694,-293,-1135,113
5715,-297,-1040,107
5735,-287,-962,95
5755,-289,-931,62
5776,-319,-942,40
5796,-332,-981,25
5817,-326,-985,28
5837,-285,-970,51
5858,-256,-956,53
5878,-242,-940,42
5899,-243,-935,32
5919,-245,-933,30
5940,-254,-944,35
5960,-257,-987,31
5981,-244,-1032,31
6001,-215,-1074,32
6022,-187,-1081,20
6042,-150,-1029,12
6062,-108,-968,11
6083,-104,-939,11
6103,-121,-938,10
6124,-159,-936,14
6144,-182,-958,34
6165,-186,-984,41
6185,-208,-968,29
6206,-229,-955,13
6226,-244,-935,0
6247,-259,-929,-1
6267,-276,-943,-6
6288,-282,-968,-8
6308,-270,-975,0
6329,-259,-972,12
6349,-253,-1000,26
6370,-266,-980,24
6390,-289,-964,29
6411,-295,-965,32
6431,-291,-964,32
6452,-292,-962,32
6472,-297,-997,54
6493,-320,-1115,61
6513,-346,-1151,3
6534,-335,-1042,20
6554,-296,-1020,82
6575,-247,-1010,93
6595,-238,-975,66
6616,-249,-983,41
6636,-252,-964,45
6657,-242,-938,53
6677,-244,-932,49
6698,-263,-915,34
6718,-267,-914,33
6738,-254,-930,46
6759,-252,-938,43
6779,-260,-947,39
6800,-274,-981,41
6820,-293,-1020,37
6841,-303,-1052,38
6861,-287,-1066,47
6882,-260,-1053,55
6902,-242,-1040,54
6923,-229,-1008,41
6943,-217,-962,31
6964,-214,-931,35
6984,-210,-916,35
7005,-214,-909,25
7025,-227,-937,28
7046,-227,-974,39
7066,-217,-974,55
7087,-211,-963,62
7107,-210,-950,60
7128,-213,-934,57
7148,-220,-919,59
7169,-229,-920,60
7189,-241,-924,55
7210,-243,-920,58
7230,-240,-930,57
7250,-239,-938,54
7271,-240,-943,54
7291,-236,-936,57
7312,-227,-929,57
7332,-231,-958,73
7353,-267,-1108,126
7373,-307,-1277,122
7394,-308,-1222,117
7414,-279,-1093,112
7435,-270,-1020,84
7455,-286,-980,45
7476,-316,-961,18
7496,-330,-951,4
7516,-304,-933,24
7537,-260,-888,42
7557,-226,-854,41
7578,-225,-870,39
7598,-246,-923,50
7619,-285,-994,54
7639,-327,-1090,33
7660,-348,-1141,-10
7680,-323,-1062,-46
7701,-261,-942,-36
7721,-200,-886,-22
7742,-166,-885,-20
7762,-156,-911,-18
7783,-174,-949,-16
7803,-219,-972,-16
7824,-267,-979,-27
7844,-294,-989,-49
7865,-289,-974,-65
7885,-259,-941,-59
7906,-237,-937,-51
7926,-229,-952,-40
7947,-229,-980,-33
7967,-235,-1017,-38
7988,-233,-1003,-27
8008,-234,-965,-15
8028,-246,-959,-14
8049,-253,-970,-9
8069,-262,-990,9
8090,-265,-1037,40
8110,-277,-1152,62
8131,-290,-1205,51
8151,-279,-1133,55
8172,-240,-1077,85
8192,-205,-1016,96
8213,-200,-976,96
8233,-209,-979,90
8254,-213,-959,81
8274,-235,-947,62
8295,-264,-936,44
8315,-275,-918,42
8336,-270,-915,48
8356,-239,-927,52
8377,-194,-944,61
8397,-180,-962,76
8418,-188,-999,89
8438,-209,-1029,90
8459,-232,-1038,84
8479,-248,-1022,78
8500,-254,-998,74
8521,-247,-976,76
8541,-232,-942,92
8562,-240,-911,108
8582,-259,-898,73
8603,-241,-936,20
8623,-204,-985,26
8644,-170,-1004,59
8665,-161,-1005,91
8685,-171,-976,93
8706,-185,-946,75
8726,-204,-925,59
8747,-225,-914,58
8767,-247,-928,70
8788,-280,-958,87
8809,-305,-979,84
8830,-265,-954,71
8850,-256,-961,75
8871,-255,-965,76
8892,-262,-992,86
8912,-272,-1017,109
8933,-298,-1074,136
8953,-339,-1138,134
8974,-355,-1099,124
8994,-329,-1035,110
9015,-303,-1015,92
9036,-311,-1004,78
9056,-346,-1008,48
9077,-365,-1013,22
9097,-339,-960,16
9118,-277,-896,20
9138,-207,-875,28
9159,-172,-879,36
9180,-205,-898,43
9200,-252,-955,42
9221,-293,-1049,27
9241,-325,-1126,-1
9262,-288,-1107,-11
9282,-213,-1016,0
9303,-155,-951,-5
9324,-132,-932,-15
9344,-140,-929,-7
9365,-156,-934,18
9385,-170,-969,29
9406,-197,-984,20
9426,-216,-934,3
9447,-221,-936,17
9468,-225,-933,29
9488,-239,-917,24
9509,-257,-909,20
9529,-249,-927,41
9550,-243,-926,51
9570,-249,-927,58
9591,-267,-969,60
9611,-283,-989,62
9632,-277,-960,65
9653,-270,-952,58
9673,-267,-959,62
9694,-288,-1051,74
9714,-337,-1197,35
9735,-342,-1175,12
9755,-283,-1068,53
9776,-208,-1004,103
9796,-151,-946,123
9817,-185,-986,101
9838,-228,-998,61
9858,-265,-956,38
9879,-298,-925,33
9899,-323,-874,19
9920,-337,-861,-4
9940,-276,-913,8
9961,-204,-944,44
9982,-169,-1022,85
10002,-181,-1152,106
10023,-207,-1192,92
10043,-228,-1112,76
10064,-231,-1045,67
10084,-217,-1005,60
10105,-199,-952,52
10125,-194,-907,48
10146,-199,-891,50
10167,-186,-897,55
10187,-194,-913,56
10208,-225,-940,54
10228,-238,-960,63
10249,-244,-980,76
10269,-265,-969,82
10290,-273,-938,90
10310,-279,-905,91
10331,-285,-902,96
10352,-305,-916,88
10372,-321,-920,69
10393,-328,-920,62
10413,-330,-927,65
10434,-314,-927,71
10454,-305,-940,73
10475,-312,-943,71
10495,-313,-945,66
10516,-300,-935,58
10536,-299,-941,77
10557,-322,-1064,145
10578,-369,-1208,143
10598,-376,-1117,100
10619,-337,-962,77
10639,-306,-907,73
10660,-291,-890,75
10680,-314,-935,58
10701,-371,-995,41
10722,-394,-987,43
10742,-362,-935,47
10763,-311,-889,20
10783,-259,-866,11
10804,-258,-923,36
10824,-299,-1022,45
10845,-312,-1110,47
10866,-263,-1138,65
10886,-213,-1108,80
10907,-189,-1057,72
10927,-165,-1000,60
10948,-156,-948,53
10969,-144,-913,64
10989,-151,-923,100
11010,-175,-934,94
11031,-217,-932,81
11051,-247,-935,64
11072,-251,-924,52
11093,-240,-913,53
11113,-247,-928,49
11134,-247,-932,42
11154,-230,-936,39
11175,-217,-933,40
11196,-218,-928,44
11216,-245,-921,40
11237,-283,-940,28
11257,-297,-962,22
11278,-306,-969,27
11298,-310,-980,34
11319,-316,-1011,48
11340,-349,-1118,50
11360,-375,-1207,10
11381,-369,-1107,5
11401,-291,-1011,62
11422,-207,-942,100
11443,-184,-915,83
11463,-208,-948,61
11484,-233,-971,60
11504,-257,-985,63
11525,-275,-972,53
11545,-279,-926,44
11566,-282,-908,44
11587,-261,-912,49
11607,-234,-928,61
11628,-220,-967,81
11648,-217,-1018,92
11669,-221,-1031,83
11690,-230,-1025,86
11710,-237,-1008,77
11731,-242,-984,65
11752,-242,-977,63
11773,-244,-992,68
11794,-240,-1009,60
11814,-227,-979,51
11835,-209,-951,57
11856,-204,-940,57
11877,-218,-930,52
11898,-238,-940,52
11918,-260,-965,54
11939,-267,-998,57
11959,-256,-999,69
11980,-237,-974,81
12001,-239,-956,86
12021,-253,-958,75
12042,-264,-949,67
12062,-265,-937,75
12083,-271,-928,77
12103,-286,-926,68
12124,-291,-929,62
12145,-288,-924,60
12165,-288,-919,63
12186,-291,-924,68
12206,-297,-937,70
12227,-306,-955,68
12248,-307,-949,73
12268,-303,-937,85
12289,-311,-939,87
12309,-357,-1119,115
12330,-357,-1067,95
12351,-317,-932,97
12371,-293,-883,95
12392,-292,-872,73
12412,-326,-925,46
12433,-367,-1026,34
12454,-353,-1039,62
12475,-287,-1012,98
12496,-255,-987,84
12516,-240,-973,52
12537,-281,-979,33
12558,-329,-977,31
12579,-329,-976,37
12600,-304,-966,22
12621,-266,-944,7
12641,-235,-930,9
12662,-220,-935,28
12683,-227,-965,40
12704,-248,-1016,32
12724,-256,-1048,24
12745,-244,-1059,17
12766,-228,-1039,3
12786,-216,-1002,-4
12807,-215,-961,-4
12827,-219,-928,7
12848,-233,-902,17
12869,-266,-905,17
12889,-352,-981,-6
12910,-351,-973,5
12930,-328,-965,19
12951,-311,-954,21
12972,-293,-943,15
12992,-279,-930,18
13013,-275,-926,25
13033,-283,-933,30
13054,-288,-941,31
13075,-285,-942,39
13095,-289,-940,51
13116,-294,-945,57
13136,-311,-959,54
13157,-323,-958,48
13178,-318,-944,51
13198,-314,-928,50
13219,-338,-950,50
13239,-371,-1047,44
13260,-400,-1101,14
13281,-391,-1048,12
13301,-344,-987,37
13322,-306,-961,48
13343,-270,-969,45
13363,-288,-956,22
13384,-312,-938,8
13404,-325,-942,10
13425,-326,-927,0
13446,-311,-897,-9
13466,-279,-906,0
13487,-252,-916,1
13507,-249,-916,4
13528,-260,-955,23
13549,-273,-1009,40
13569,-284,-1066,41
13590,-272,-1045,34
13610,-250,-1007,28
13631,-224,-964,28
13652,-209,-929,32
13672,-217,-915,30
13693,-235,-913,19
13713,-255,-921,15
13734,-268,-963,25
13755,-261,-981,35
13775,-256,-956,44
13796,-251,-962,51
13816,-242,-952,56
13837,-244,-927,60
13858,-258,-928,60
13878,-266,-925,56
13899,-267,-917,53
13919,-279,-921,54
13940,-273,-934,56
13961,-268,-932,58
13981,-277,-937,60
14002,-276,-958,63
14022,-274,-976,67
14043,-284,-1009,92
14063,-311,-1100,118
14084,-328,-1125,112
14105,-320,-1012,91
14125,-309,-950,76
14146,-320,-930,60
14166,-354,-930,38
14187,-386,-940,23
14208,-379,-947,24
14228,-349,-943,32
14249,-329,-955,27
14269,-333,-941,-17
14290,-354,-927,-15
14311,-354,-934,-15
14331,-326,-932,-20
14352,-315,-904,-30
14372,-304,-946,-19
14393,-287,-1007,0
14414,-300,-1038,-12
14434,-321,-1059,-43
14455,-323,-1044,-63
14475,-314,-1024,-57
14496,-310,-1031,-49
14517,-291,-1025,-46
14537,-273,-1003,-36
14558,-256,-998,-12
14578,-248,-993,0
14599,-257,-981,0
14620,-271,-961,-3
14640,-279,-945,-3
14661,-283,-937,-2
14681,-290,-937,-1
14702,-296,-936,-5
14723,-288,-936,-2
14743,-261,-944,5
14764,-244,-954,5
14784,-238,-950,5
14805,-222,-936,15
14826,-210,-922,21
14846,-216,-913,24
14867,-230,-901,24
14888,-240,-899,21
14908,-244,-897,25
14929,-236,-901,36
14949,-250,-961,72
14970,-280,-1104,75
14991,-294,-1120,33
15011,-282,-1023,36
15032,-263,-1022,70
15052,-251,-987,69
15073,-252,-952,66
15093,-271,-974,55
15114,-298,-940,34
15135,-303,-905,31
15155,-305,-901,30
15176,-337,-916,12
15196,-369,-955,4
15217,-376,-980,5
15238,-365,-975,-1
15258,-353,-944,-10
15279,-347,-932,-11
15299,-351,-952,-6
15320,-372,-1000,2
15340,-393,-1049,18
15361,-399,-1057,20
15382,-387,-1037,18
15402,-362,-1033,20
15423,-338,-1023,17
15443,-318,-983,18
15464,-309,-960,28
