timestamp,x,y,z
0,-320,-956,-7
20,-315,-946,-10
41,-306,-947,-16
61,-299,-947,-15
82,-291,-944,-14
102,-293,-946,-8
123,-296,-946,-14
143,-290,-944,-23
163,-289,-945,-34
184,-291,-947,-41
205,-288,-952,-41
225,-289,-961,-40
245,-282,-972,-37
266,-268,-970,-31
286,-259,-962,-22
307,-256,-971,-22
327,-260,-989,-15
348,-263,-995,-4
368,-273,-985,-5
389,-287,-976,-5
409,-288,-988,0
430,-293,-980,-14
450,-309,-940,-35
471,-323,-906,-43
491,-316,-892,-44
512,-315,-909,-46
533,-311,-941,-40
553,-299,-986,-33
574,-301,-1014,-25
594,-299,-1020,-12
615,-312,-1003,-3
635,-326,-971,-5
656,-350,-951,-16
676,-350,-950,-12
697,-354,-958,-8
717,-359,-983,-2
738,-350,-1008,6
758,-333,-1048,17
779,-330,-1088,19
799,-330,-1094,12
820,-329,-1082,7
840,-327,-1121,17
861,-324,-1220,41
881,-332,-1317,63
902,-347,-1402,75
923,-335,-1436,67
943,-291,-1336,58
964,-225,-1149,56
984,-150,-983,58
1005,-74,-865,67
1025,-6,-832,103
1046,40,-872,135
1066,37,-941,133
1087,-10,-1028,95
1107,-22,-1050,76
1128,-5,-1001,71
1148,-20,-935,47
1169,-62,-887,16
1189,-107,-884,4
1210,-139,-914,5
1230,-137,-936,0
1251,-125,-916,-28
1271,-114,-873,-40
1292,-125,-837,-48
1313,-155,-819,-56
1333,-165,-814,-60
1354,-187,-854,-64
1374,-247,-975,-65
1395,-341,-1112,-65
1415,-424,-1214,-42
1436,-520,-1318,3
1456,-502,-1213,-35
1477,-432,-1083,-53
1497,-366,-1052,-13
1518,-346,-1077,18
1538,-363,-1097,20
1559,-389,-1137,12
1579,-407,-1117,-3
1600,-380,-1000,-16
1621,-315,-843,-4
1641,-264,-793,12
1662,-263,-864,-11
1682,-308,-936,-36
1703,-318,-948,-2
1723,-266,-946,46
1744,-210,-938,56
1764,-180,-904,54
1785,-158,-891,80
1805,-152,-895,112
1826,-173,-892,127
1846,-207,-908,126
1867,-245,-926,116
1887,-277,-922,93
1908,-297,-920,73
1928,-304,-921,69
1949,-298,-914,71
1970,-279,-912,75
1990,-266,-908,86
2011,-264,-922,91
2031,-250,-946,93
2052,-231,-1004,109
2072,-194,-1069,107
2093,-175,-1138,69
2114,-163,-1165,46
2134,-102,-1180,81
2155,-26,-1301,182
2176,16,-1389,302
2196,10,-1166,128
2217,-142,-971,-57
2237,-175,-853,-108
2258,-111,-875,-54
2279,-113,-967,-30
2299,-174,-1036,-46
2320,-207,-1073,-33
2340,-209,-1084,-2
2361,-220,-1045,12
2381,-230,-959,13
2402,-272,-895,-3
2422,-363,-899,-28
