timestamp,x,y,z
0,475,865,-177
20,488,870,-184
41,498,870,-197
61,498,862,-194
82,488,861,-161
102,478,851,-159
122,507,853,-160
143,524,854,-156
163,533,853,-162
184,515,850,-167
204,485,851,-172
225,482,854,-170
245,479,858,-166
266,481,851,-166
286,478,843,-166
307,466,839,-170
327,463,834,-175
348,458,823,-171
368,440,827,-169
389,446,872,-177
409,485,940,-181
430,555,996,-187
450,602,981,-204
471,567,877,-205
491,518,774,-197
511,502,719,-239
532,514,742,-320
552,601,789,-382
573,747,836,-413
593,722,887,-374
614,600,770,-281
634,584,731,-235
655,572,733,-222
675,545,709,-228
696,524,656,-223
717,518,626,-249
737,560,674,-310
758,638,714,-359
778,722,715,-366
799,768,732,-369
819,731,791,-389
840,668,844,-402
860,668,823,-395
881,677,762,-411
901,638,765,-429
922,627,998,-468
942,777,1211,-398
963,926,936,-284
983,697,948,-131
1004,435,845,-74
1024,200,638,-22
1045,216,577,41
1065,300,651,46
1086,402,789,-43
1106,537,858,-217
1127,619,895,-319
1148,589,916,-296
1168,490,866,-224
1189,345,792,-144
1209,334,733,-84
1230,359,729,-64
1250,370,765,-99
1271,445,803,-160
1291,545,848,-209
1312,609,875,-224
1332,625,855,-214
1353,576,800,-185
1373,494,817,-162
1394,543,834,-154
1414,670,832,-151
1435,724,851,-190
1455,768,879,-258
1476,949,1010,-261
1496,963,1119,-151
1517,814,1053,-99
1537,783,1017,-75
1558,513,956,-35
1578,104,887,-19
1599,-78,966,-20
1619,-4,1005,-32
1640,14,1027,-69
1660,150,1067,-166
1681,273,1054,-225
1701,467,898,-217
1722,729,744,-198
1742,898,650,-215
1763,810,609,-214
1783,634,568,-207
1804,520,517,-199
1825,388,529,-282
1845,487,594,-329
1866,551,612,-335
1886,596,633,-343
1907,634,735,-309
1927,676,796,-254
1948,747,891,-311
1968,851,869,-454
1989,892,1024,-518
2010,970,1322,-302
2030,894,1061,-196
2051,671,991,-138
2072,464,899,-107
2092,290,801,-117
2113,104,707,-59
2133,195,614,-39
2154,356,750,-56
2175,460,823,-85
2195,514,796,-85
2216,698,774,-181
2236,775,809,-302
2257,696,806,-287
2278,589,757,-193
2298,472,723,-102
2319,333,728,-41
2340,234,753,-43
2360,239,771,-101
2381,302,828,-182
2401,410,870,-227
2422,557,842,-204
2443,708,820,-149
2463,760,808,-155
2484,789,803,-187
2504,778,812,-192
2525,708,842,-237
2546,752,1033,-276
2566,757,1057,-198
2587,731,1024,-121
2608,618,1097,-68
2629,300,1011,-55
2650,8,988,-42
2670,-133,1003,-43
2691,-226,1054,-26
2712,-27,1112,-101
2733,187,1076,-236
2754,380,974,-211
2775,648,791,-158
2795,910,602,-187
2816,898,479,-196
2837,639,435,-202
2858,474,415,-254
2878,413,511,-306
2899,434,620,-347
2920,532,708,-367
2941,565,798,-366
2962,568,880,-339
2983,600,928,-323
3004,704,850,-275
3024,788,758,-391
3045,814,1187,-463
3066,864,1360,-372
3087,829,1017,-283
3108,541,955,-152
3129,223,815,-125
3150,53,771,-67
3170,187,700,42
3191,434,783,34
3212,523,920,-25
3233,492,1003,-138
3254,443,969,-253
3275,411,894,-258
3296,333,841,-200
3317,268,818,-160
3337,253,796,-131
3358,312,810,-93
3379,380,806,-87
3400,464,790,-129
3421,529,776,-156
3442,548,764,-173
3463,602,756,-186
3484,645,764,-179
3504,724,827,-187
3525,739,857,-192
3546,740,923,-224
3567,694,934,-246
3588,579,907,-234
3609,584,1049,-245
3630,602,1208,-219
3651,520,1198,-162
3671,290,1115,-93
3692,39,977,-60
3713,-64,991,-34
3734,-21,1007,-21
3755,230,927,-94
3776,479,960,-186
3797,552,932,-249
3818,514,838,-228
3838,575,709,-223
3859,676,630,-285
3880,590,595,-282
3901,413,587,-243
3922,323,572,-224
3943,331,601,-245
3964,419,679,-307
3984,633,702,-360
4005,613,776,-380
4026,570,861,-392
4047,619,933,-353
4068,613,933,-329
4089,629,894,-434
4110,796,1229,-550
4131,878,1276,-343
4151,678,1062,-215
4172,469,1047,-167
4193,301,937,-190
4214,133,853,-135
4235,191,679,31
4256,339,708,78
4277,341,846,4
4298,371,914,-109
4318,470,947,-250
4339,538,890,-283
4360,495,851,-221
4381,423,811,-189
4402,410,767,-157
4423,426,724,-113
4444,422,708,-95
4464,556,723,-193
4485,642,759,-246
4506,648,779,-227
4527,567,792,-201
4547,488,821,-225
4568,483,879,-267
4589,548,927,-306
4609,601,983,-300
4630,702,1001,-224
4651,771,1042,-214
4672,716,1197,-289
4693,640,1225,-260
4714,569,1106,-143
4735,375,991,-51
4756,71,891,10
4776,-146,945,42
4797,-126,954,0
4818,84,933,-44
4839,287,944,-153
4860,413,900,-224
4881,467,816,-166
4902,645,665,-173
4923,877,591,-297
4943,798,602,-299
4964,419,599,-227
4985,366,624,-226
5006,406,649,-277
5027,469,696,-352
5048,522,699,-365
5069,551,751,-322
5090,623,836,-328
5110,630,970,-360
5131,665,970,-381
5152,786,1300,-445
5173,856,1518,-353
5194,725,1288,-310
5215,479,1027,-167
5236,166,905,-110
5257,-11,784,-121
5277,99,610,-45
5298,321,641,0
5319,449,783,-25
5340,466,902,-140
5361,471,957,-210
5382,453,873,-168
5403,490,815,-157
5424,458,805,-191
5444,382,720,-155
5465,406,710,-121
5486,438,724,-151
5507,493,757,-230
5528,547,784,-270
5549,580,792,-223
5570,528,823,-146
5590,513,880,-147
5611,597,918,-245
5632,639,951,-284
5652,687,956,-255
5673,745,923,-249
5694,772,989,-332
5715,827,1173,-312
5735,719,1141,-252
5756,666,1012,-206
5777,499,947,-109
5798,131,855,-60
5819,-208,895,-60
5840,-188,944,-6
5861,57,889,9
5882,279,930,-24
5902,344,957,-143
5923,368,919,-248
5944,312,827,-267
5965,774,584,-276
5986,707,542,-184
6007,552,535,-191
6028,476,597,-260
6049,482,698,-339
6070,538,726,-367
6090,617,741,-326
6111,654,812,-239
6132,679,841,-233
6153,644,925,-274
6174,585,942,-329
6195,713,1342,-349
6216,847,1481,-215
6237,792,1226,-256
6257,480,1001,-152
6278,202,848,-107
6299,-18,734,-78
6320,119,598,-11
6341,402,668,-22
6362,510,849,-83
6383,456,928,-147
6404,404,946,-134
6425,398,895,-147
6445,367,878,-205
6466,325,827,-152
6487,331,782,-75
6508,361,776,-85
6529,418,770,-158
6550,475,776,-226
6571,500,784,-242
6591,541,792,-209
6612,588,826,-135
6633,597,880,-90
6654,597,928,-142
6675,614,943,-209
6695,634,945,-214
6716,651,895,-196
6737,654,887,-248
6758,727,1041,-279
6779,676,1115,-181
6799,623,1025,-152
6820,537,975,-114
6841,235,930,-67
6862,35,979,-64
6883,-20,1031,-43
6904,-49,1041,10
6925,135,1007,-132
6946,270,920,-175
6967,469,780,-156
6987,671,655,-210
7008,722,563,-235
7029,565,560,-216
7050,472,577,-212
7071,482,625,-232
7092,520,733,-286
7112,557,787,-316
7133,587,761,-279
7154,561,792,-201
7174,528,867,-176
7195,551,991,-282
7216,634,982,-389
7237,683,876,-457
7257,757,1180,-373
7278,833,1264,-205
7299,802,1039,-193
7320,621,999,-163
7341,540,920,-160
7362,360,763,-105
7383,141,637,41
7404,217,672,58
7425,369,899,-92
7445,369,882,-153
7466,407,828,-141
7487,487,840,-187
7508,533,813,-241
7529,510,806,-201
7550,393,791,-125
7571,352,724,-63
7592,402,687,-50
7612,432,741,-82
7633,450,807,-104
7654,458,867,-131
7675,482,911,-199
7695,509,893,-202
7716,575,882,-218
7737,680,857,-224
7757,765,856,-227
7778,795,881,-212
7799,835,971,-230
7820,910,1120,-184
7840,838,1085,-118
7861,691,980,-113
7882,377,961,-76
7903,4,875,11
7924,-36,831,53
7945,-41,1121,56
7966,-113,1231,-109
7987,-79,1185,-253
8007,170,996,-213
8028,517,806,-189
8049,727,682,-212
8070,704,606,-185
8091,584,572,-154
8112,504,554,-143
8133,490,575,-180
8154,488,623,-240
8174,522,653,-312
8195,597,680,-354
8216,612,789,-328
8236,605,869,-282
8257,698,972,-246
8278,755,971,-345
8299,798,1063,-443
8320,963,1431,-241
8340,852,1228,-149
8361,711,1110,-150
8382,516,927,-146
8403,301,810,-125
8424,1,704,-49
8445,252,721,58
8466,395,788,51
8487,387,859,-29
8508,400,902,-177
8529,499,880,-225
8550,513,859,-210
8571,537,812,-166
8591,522,791,-103
8612,396,785,-62
8633,338,767,-86
8654,416,775,-139
8675,477,811,-147
8696,509,836,-153
8717,551,851,-180
8738,571,857,-163
8758,582,882,-160
8779,601,874,-195
8800,673,836,-179
8820,728,813,-154
8841,724,878,-220
8862,825,1104,-223
8883,794,1143,-162
8904,775,1019,-126
8925,240,1003,18
8946,-122,1028,28
8967,-218,1085,49
8987,-283,1124,72
9008,-177,1132,49
9029,78,1062,-78
9050,162,980,-133
9071,288,849,-135
9092,513,755,-163
9113,724,680,-211
9134,730,615,-208
9155,595,573,-199
9176,535,543,-198
9197,512,554,-218
9217,507,597,-252
9238,519,597,-294
9259,568,661,-328
9280,621,763,-316
9301,635,848,-278
9322,670,883,-251
9343,718,994,-245
9364,697,969,-389
9385,796,1405,-210
9405,633,1195,-239
9426,552,1057,-187
9447,375,888,-106
9468,159,859,-103
9489,32,750,-30
9510,172,733,42
9531,352,801,54
9552,392,871,-5
9573,331,910,-124
9593,313,886,-181
9614,346,873,-178
9635,382,886,-172
9656,427,883,-175
9677,415,866,-139
9698,378,812,-80
9719,360,771,-66
9740,416,776,-107
9760,478,814,-131
9781,515,816,-136
9802,521,815,-146
9823,541,850,-154
9843,610,886,-139
9864,662,879,-154
9885,638,896,-142
9905,601,881,-230
9926,615,1108,-307
9947,626,1260,-213
9968,564,1160,-134
9989,333,1053,-103
10009,59,946,-103
10030,-84,1022,-130
10051,-194,1160,-122
10072,-49,1128,-131
10093,221,1061,-157
10114,328,965,-136
10135,367,836,-101
10156,453,749,-125
10177,544,675,-190
10198,489,658,-227
10219,379,650,-226
10239,320,630,-211
10260,322,656,-220
10281,365,720,-260
10302,437,758,-304
10323,528,772,-319
10344,599,800,-313
10364,728,855,-271
10385,681,894,-294
10406,730,901,-365
10427,785,914,-487
10448,784,1344,-499
10469,821,1395,-366
10490,671,1126,-298
10511,379,989,-142
10532,85,866,-14
10552,-157,860,-27
10573,-143,785,16
10594,123,852,63
