timestamp,x,y,z
0,194,850,-463
20,214,857,-466
41,220,856,-469
61,230,847,-481
82,240,829,-484
102,274,820,-494
123,277,821,-500
143,284,826,-505
164,282,831,-512
184,271,847,-528
205,246,880,-544
225,213,916,-574
245,178,961,-621
266,137,1021,-671
286,69,1054,-671
307,-89,926,-480
327,-312,774,-278
348,-357,712,-282
368,-268,691,-288
389,-132,735,-242
410,-99,678,-114
430,20,666,-128
451,106,832,-278
472,296,958,-292
492,469,996,-296
513,511,790,-415
533,542,891,-457
554,619,930,-521
574,592,958,-542
595,568,977,-552
616,486,1000,-566
636,440,1116,-527
657,413,1223,-508
677,363,1294,-497
698,332,1321,-511
718,374,1547,-469
739,507,1627,-485
760,416,1427,-442
780,-43,1236,-313
801,-87,958,-346
821,-33,886,-352
842,-26,952,-343
862,20,1242,-294
883,-41,1083,-26
903,191,916,-306
924,108,731,-234
945,-89,807,-213
965,-104,560,-382
986,-36,539,-180
1006,-78,725,-202
1027,-20,920,-89
1047,206,990,63
1068,281,966,8
1089,242,928,-88
1109,149,1025,-145
1130,60,1118,-192
1150,6,1126,-206
1171,-31,1152,-152
1191,-44,1351,-52
1212,47,1361,-81
1233,158,879,-316
1253,79,563,-298
1274,6,696,-179
1294,102,906,-172
1315,159,1050,-256
1335,154,1078,-292
1356,156,1021,-270
1377,120,856,-262
1397,101,680,-278
1418,105,575,-368
1438,123,617,-337
1459,281,776,-297
1480,297,907,-277
1500,447,1055,-230
1521,558,1076,-257
1542,510,1066,-341
1562,541,1332,-299
1583,567,1359,-306
1604,423,1326,-358
1624,389,1555,-333
1645,465,1522,-353
1666,416,1011,-376
1686,347,754,-333
1707,470,813,-370
1728,503,1041,-238
1748,-194,1360,-95
1769,-108,1195,-97
1790,375,1051,-171
1810,181,1159,-157
1831,-42,967,-380
1851,-89,789,-366
1872,-114,974,-192
1893,-75,941,-136
1913,14,892,-57
1934,124,1005,44
1955,155,1037,92
1975,71,920,24
1996,-4,838,-107
2017,-5,837,-211
2037,16,823,-264
2058,16,736,-283
2079,30,779,-133
2100,41,1253,-6
2120,211,1310,-69
2141,232,906,-267
2162,143,980,-271
2183,68,1152,-339
2204,104,1104,-523
2225,204,909,-588
2245,345,753,-636
2266,470,599,-700
2287,476,527,-723
2308,530,581,-650
2329,536,714,-563
2350,434,801,-533
2370,380,802,-474
2391,335,803,-382
2412,315,837,-332
2433,310,909,-307
2454,281,979,-301
2475,254,996,-283
2496,247,1064,-192
2517,291,1518,-208
2537,315,1481,-293
2558,178,944,-270
2579,89,715,-152
2600,-10,800,-82
2621,5,1001,-113
2642,87,1103,-125
2663,4,946,-197
2684,40,737,-259
2705,1,640,-249
2725,-23,598,-238
2746,75,604,-219
2767,198,681,-209
2788,264,772,-150
2809,272,922,-142
2830,202,1056,-167
2851,108,1179,-160
2872,97,1309,-126
2892,103,1366,-94
2913,108,1366,-62
2934,100,1291,-104
2955,121,1230,-94
2976,204,1498,3
2997,223,1535,111
3018,130,1117,78
3039,58,784,-46
3060,75,690,-189
3080,78,929,-146
3101,-7,1180,14
3122,-109,1155,102
3143,-92,949,-29
3164,-10,729,-152
3184,40,564,-158
3205,36,534,-114
3226,61,552,-114
3247,72,569,-92
3268,3,641,-68
3289,-35,700,-82
3310,39,844,-59
3331,179,1060,-12
3351,174,1144,-94
3372,98,1158,-229
3393,108,1221,-248
3414,132,1715,-175
3435,135,2527,-101
3456,-67,2057,-17
3476,-392,908,-28
3497,-377,403,-53
3518,-27,511,-186
3538,194,963,-190
3559,445,969,-224
3580,351,1012,-141
3600,-131,1193,4
3621,-346,876,-150
3642,-378,805,-214
3663,-242,819,-174
3684,-188,821,-103
3705,-350,963,86
3726,117,1030,113
3747,277,912,-58
3768,-180,872,-60
3788,-332,1001,16
3809,-221,1062,102
3830,-134,1003,117
3851,-119,1003,128
3872,-117,951,93
3893,-59,979,66
3914,10,1467,105
3935,114,1667,244
3956,125,1200,200
3976,-4,921,27
3997,-148,921,-139
4018,-159,946,-197
4039,-169,960,-67
4060,-125,913,35
4081,14,854,21
4102,75,842,-48
4123,-24,623,-149
4143,-203,845,-30
4164,-222,1038,35
4185,-18,900,-43
4206,5,917,-106
4227,-77,1043,-141
4248,-57,1096,-160
4269,16,1160,-116
4290,-1,1226,-109
4311,-130,1123,-118
4331,-165,1423,85
4352,-95,1849,241
4373,-32,1469,164
4394,-65,808,67
4415,-81,427,-42
4436,-68,503,-83
4457,-102,823,-228
4478,-60,1096,-182
4499,-7,1207,-119
4519,-13,1100,-141
4540,-98,975,-166
4561,-202,861,-177
4582,-200,805,-169
4603,-174,881,-134
4624,-219,967,-89
4645,-153,951,-30
4666,64,883,-15
4686,273,902,1
4707,298,979,9
4728,164,970,-17
4749,59,948,-48
4770,-28,1047,-27
4791,-76,1194,-20
4812,-58,1245,-20
4833,-25,1394,71
4854,62,1677,161
4874,142,1444,131
4895,68,923,0
4916,-7,500,-171
4937,-39,335,-239
4958,0,682,-210
4978,6,1118,-129
4999,-62,1133,-53
5020,-101,998,-104
5041,-138,797,-184
